GEF ID,Lead GEF Agency,Country,Geographic Scope,Project title,Project Short Title,Task Manager,Project Type,Current Project  Status,Focal Area_A,Subprogramme,PIF/Council Approval Date,Date of full project submission to GEF Secretariat,PPG  CEO Approval,UNEP signature date      (PPG),Expected/ Actual Completion date PPG,PPG WBSE,Project Preparation Grant (PPG),  Project CEO Approval/Endorsement Date,UNEP signature date  (Project),Date of latest signature date on the umbrella legal instrument,Expected Technical Completion date (Project),Revised Technical Completion date (Project),Actual Technical Completion date (Project),Expected Completion date (Validity of the LA),Number of Amendments to LA,Actual Completion date (Validity of the LA),Project WBSE,S1 Grant Code,P1 Grant Code,Project  Grant ,  Co-financing Amount ,  PA focal point  , FMO , FA Focal Point , Project mid-term review/evaluation status , Project terminal evaluation status  , Date of project financial closure , Fund , Branch , Comments  ,Technical completion date, Corporate Services(AG_Fee) , Project Cycle Activities(AG_Fee) , Portfolio_Total(AG_Fee) 
5537,UNEP,Congo,Africa,Creation of Conkouati - Dimonika PA complex and Development of Community and Private Sector Participation Model to enhance PA Management Effectiveness - CDC&CPSPM,Conkouati Dimonika PA,Adamou Bouhari,FSP,Under Implementation,Biodiversity,Ecosystems Management,21-Mar-14,13-Jun-16,05-Feb-14,17-Feb-15,31-Dec-15,SB-000883.26,"$106,000.00",22-Jun-16,10-Apr-17,25-Apr-17,30-Apr-21,30-Apr-22,,30-Apr-22,1,,SB-006282,S1-32GFL-000581,P1-33GFL-001105,"$2,889,434"," 15,300,000 ",Eric Mugo,George Saddimbah,Linda Choge,,,30-Apr-22,GFL,Biodiversity and Land Branch (BLB),,04/30/2022," 28,894 "," 260,049 "," 288,943 "
5541,UNEP,Global,Global,Global Support Programme:  Strengthening Countries Parties for planning and monitoring mechanisms of the UNCCD implementation. ,Global Support UNCCD - GSP I,Adamou Bouhari,MSP,Completed,Land Degradation,Ecosystems Management,25-Mar-14,14-Aug-13,,,,,$0.00,25-Mar-14,19-May-14,19-May-14,30-Oct-20,30-Oct-20,31-Dec-20,30-Sep-16,2,30-Oct-22,SB-000689.42,S1-32GFL-000494,P1-33GFL-000475,"$2,000,000"," 2,460,000 ",Eric Mugo,George Saddimbah,Linda Choge,,,,GFL,Biodiversity and Land Branch (BLB),,12/31/2020," 20,000 "," 180,000 "," 200,000 "
5601,UNDP/UNEP,Global,Global,Support to GEF Eligible Countries for Achieving Aichi Biodiversity Target 17 Through a Globally Guided NBSAPs Update Process,AICHI Biodiversity NBSAPs,Jane Nimpamya,MSP,Completed,Biodiversity,Ecosystem Management,29-Oct-13,,,,,,$0.00,29-Oct-13,27-Feb-14,12-Feb-14,30-Jun-16,30-Dec-20,30-Dec-21,30-Jun-21,,30-Jun-22,"SB-000689.28.01.01,SB-000689.28.01.02,SB-000689.28.02.01,SB-000689.28.02.02,SB-000689.28.05.01,SB-000689.28.01,SB-000689.28.02,SB-000689.28.03,SB-000689.28.04,SB-000689.28.05",S1-32GFL-000468,"P1-33GFL-001650,P1-33GFL-000987,P1-33GFL-000645,P1-33GFL-000550","$850,000"," 2,000,000 ",Evelyn Machasio,George Saddimbah,Michael Atogoh,N/A,N/A,,GFL,Biodiversity and Land Branch (BLB),,12/30/2021," 8,500 "," 76,500 "," 85,000 "
5607,UNEP,Pakistan,Asia Pacific,Support to Pakistan  for the Revision of the NBSAPs and Development of Fifth National Report to the CBD,Pakistan (SC),Jane Nimpamya,EA,Technically Completed,Biodiversity,Ecosystem Management,03-Feb-14,,,,,,$0.00,03-Feb-14,03-Apr-14,13-Mar-14,31-Dec-14,30-Jun-15,30-Jun-15,30-Jun-15,,30-Jun-15,"SB-000760.02.25,SB-000760.02.82",S1-32GFL-000367,P1-33GFL-000246,"$220,000"," 245,000 ",Evelyn Machasio,George Saddimbah,Michael Atogoh,N/A,N/A,,GFL,Biodiversity and Land Branch (BLB),,06/30/2015," 2,200 "," 19,800 "," 22,000 "
5626,UNEP,Kenya,Africa,Developing the Microbial Biotechnology Industry from Kenya's Soda Lakes in line with the Nagoya Protocol,Kenya Soda Lakes ,Jane Nimpamya,MSP,Under Implementation,Biodiversity,Ecosystem Management,05-Dec-13,,,,,,$0.00,05-Dec-13,14-Jun-18,09-Jul-18,30-Jun-20,30-Jun-23,,31-Dec-20,1,31-Dec-23,"SB-000689.46,SB-000689.46.01,SB-000689.46.02,SB-000689.46.03,SB-000689.46.04",S1-32NPL-000005,"P1-33NPL-000002,P1-33NPL-000027","$913,265"," 1,751,845 ",Evelyn Machasio,George Saddimbah,Michael Atogoh,,,,GFL,Biodiversity and Land Branch (BLB),Currently valid until Dec 2020. Intention of extending the technical date to 31 December 2021 is underway ,06/30/2023," 9,133 "," 82,194 "," 91,327 "
5631,UNEP,South Sudan,Africa,"National Biodiversity Planning to Support the Implementation of the CBD 2011-2020 Strategic Planin South Sudan by Development of the first National Biodiversity Strategy and Action Plan (NBSAP)",South Sudan (SC),Jane Nimpamya,EA,Technically Completed,Biodiversity,Ecosystem Management,25-Sep-14,,,,,,$0.00,25-Sep-14,16-Apr-15,16-Apr-15,31-Dec-17,30-Jun-19,30-Jun-19,30-Jun-19,2,30-Jun-19,"SB-000760.04,SB-000760.04.01,SB-000760.04.02",S1-32GFL-000367,"P1-33GFL-000983,P1-33GFL-001059","$220,000"," 100,000 ",Evelyn Machasio,George Saddimbah,Michael Atogoh,N/A,N/A,,GFL,Biodiversity and Land Branch (BLB),,06/30/2019," 2,200 "," 19,800 "," 22,000 "
5634,UNEP,"Regional (Cook Islands, Fiji Islands, Republic of Marshall Islands, Federated States of Micronesia, Nauru, Niue, Palau, Samoa, Solomon Islands, Tonga, Tuvalu, Kiribati, Papua New Guinea ,Vanuatu)",Asia Pacific,Ratification and Implementatio of the Nagoya Protocol in the countries of the  Pacific,RATIFICATION AND IMP,Johan Robinson,MSP,Under Implementation,Biodiversity,Ecosystem Management,11-Dec-13,,11-Dec-13,02-Apr-14,30-May-15,SB-000689.30,"$63,927.00",12-May-16,16-Sep-16,31-Aug-16,31-Dec-19,30-Jun-22,,31-Dec-20,1,30-Jun-22,SB-006480,S1-32NPL-000008,P1-33NPL-000026,"$1,762,557"," 1,234,000 ",Peerayot Sidonrusmee,Janet Bwiza,Serah Shaiya,,,,GFL,Biodiversity and Land Branch (BLB),Possible extension. To be confirmed,06/30/2022," 17,626 "," 158,630 "," 176,256 "
5637,UNEP,Tunisia,Africa,"Support to Alignment of Tunisia's National Action Programme to the UNCCD 10-Year Strategyimplementation and Reporting review Process",UNCCD Tunisia 4C54,Adamou Bouhari,EA,Completed,Land Degradation,Ecosystems Management,04-Dec-13,08-Nov-13,,,,,$0.00,04-Dec-13,04-Sep-14,04-Sep-14,30-Jun-16,30-Jun-19,30-Jun-19,31-Dec-16,2,30-Jun-19,SB-000762.24.68,S1-32GFL-000380,P1-33GFL-000511,"$136,986"," 148,244 ",Eric Mugo,George Saddimbah,Linda Choge,N/A,N/A,31-Dec-16,GFL,Biodiversity and Land Branch (BLB),,06/30/2019," 1,370 "," 12,329 "," 13,699 "
5639,UNEP,Mauritania,Africa,Stocktaking and Update of National Biosafety Framework of Mauritania,Mauritania/MSP,Alex Owusu-Biney,MSP,Under Implementation,Biodiversity,Ecosystem Management,08-May-14,,08-May-14,05-Aug-14,30-Jun-14,SB-000690.11,"$35,000.00",04-Dec-15,23-Apr-16,31-May-21,31-Dec-19,30-Jun-22,30-Jun-22,31-Dec-22,2,31-Dec-22,SB-011206,S1-32GFL-000618,P1-33GFL-000934,"$878,000"," 950,000 ",Evelyn Machasio ,Janet Bwiza,Lilian Musyoka,Completed,N/A,,GFL,Biodiversity and Land Branch (BLB),,06/30/2022," 8,780 "," 79,020 "," 87,800 "
5684,UNEP,Dominica,Latin America and the caribbean,Support to Dominica for development of  National Action Program aligned to the UNCCD 10 Year Strategy and Reporting  Process under UNCCD,4C54,Adamou Bouhari,EA,Completed,Land Degradation,Ecosystems Management,10-Mar-14,25-Feb-13,,,,,$0.00,10-Mar-14,25-Apr-14,25-Apr-14,30-Oct-15,,30-Oct-15,30-Oct-15,,30-Oct-15,SB-000762,S1-32GFL-000380,P1-33GFL-000370,"$136,986"," 190,000 ",Eric Mugo,George Saddimbah,Linda Choge,N/A,N/A,24-Apr-16,GFL,Biodiversity and Land Branch (BLB),,10/30/2015," 1,370 "," 12,329 "," 13,699 "
5688,UNEP,Global,Global,UNEP-GEF Project for Sustainable Capacity Building for Effective Participation in the BCH (BCH III),Global BCH III/FSP,Alex Owusu-Biney,FSP,Under Implementation,Biodiversity,Ecosystem Management,27-May-14,,01-Apr-14,05-Jun-14,31-Dec-15,SB-000689.41,"$150,000.00",22-Jun-16,16-Sep-16,08-Jul-21,31-Dec-20,31-Dec-22,31-Dec-22,30-Jun-23,2,,SB-006447,S1-32GFL-000617,,"$4,699,684"," 13,440,475 ",Evelyn Machasio ,Janet Bwiza,Lilian Musyoka,Completed,N/A,,GFL ,Biodiversity and Land Branch (BLB),76 Countries,12/31/2022," 46,997 "," 422,972 "," 469,968 "
5691,UNEP,Tanzania,Africa,Sustainable Land Management of Lake Nyasa Catchment in Tanzania,Lake Nyasa MSP ,Jane Nimpamya,MSP,Under Implementation,Land Degradation,Ecosystem Management,10-Mar-14,,10-Mar-14,31-Mar-15,28-Feb-15,,"$70,000.00",23-May-16,26-Aug-19,15-Nov-18,31-Dec-20,31-Dec-22,,31-Dec-21,1, ,"SB-006254.01,SB-006254.02,SB-006254.03,SB-006254.04,SB-006254.05",S1-32GFL-000620,P1-33GFL-001068,"$1,298,980"," 4,450,000 ",Evelyn Machasio ,George Saddimbah,Michael Atogoh,,,,GFL,Biodiversity and Land Branch (BLB),,12/31/2022," 12,990 "," 116,908 "," 129,898 "
5696,UNEP,St. Lucia,Latin America and the caribbean,Support to Alignment of Saint Lucia's National Action Programme to the UNCCD Ten-Year Strategy and Reporting Process,4C54,Adamou Bouhari,EA,Completed,Land Degradation,Ecosystems Management,07-Feb-14,03-Feb-14,,,,,$0.00,07-Feb-14,01-Apr-14,30-Jun-19,24-Sep-15,,24-Sep-15,25-Mar-16,,25-Mar-16,SB-000762,S1-32GFL-000380,,"$136,986"," 148,255 ",Eric Mugo,George Saddimbah,Linda Choge,N/A,N/A,,GFL,Biodiversity and Land Branch (BLB),,09/24/2015," 1,370 "," 12,329 "," 13,699 "
5698,UNEP,Global,Global,Sustainable Land Management and Climate Change Mitigation Co-benefits (SLM-CCMC),SLM Climate Change Co-benefit - PPG,Victoria Luque ,MSP,Technically Completed,Land Degradation,Ecosystem Management,11-Mar-14,,11-Mar-14,30-Mar-15,31-Dec-15,SB-001006.01,"$20,000.00",28-Oct-15,02-Feb-16,29-Jan-16,31-Aug-20,28-Feb-21,,31-Dec-20,2,31-Aug-21,SB-005911,S1-32GFL-000620,"P1-33GFL-000924, P1-33GFL-000988","$1,804,800"," 1,561,512 ",Aska Ochiel ,George Saddimbah,Weldon Lemein,,,,GFL,Biodiversity and Land Branch (BLB),,02/28/2021," 18,048 "," 162,432 "," 180,480 "
5730,UNEP,Global,Global,Connect: Mainstreaming biodiversity information into the heart of government decision making,Connect FSP,Victoria Luque,FSP,Technically Completed,Biodiversity,Ecosystem Management,27-May-14,,01-Apr-14,26-Jun-14,30-Nov-15,SB-000690.06,"$120,000.00",14-Mar-16,18-Aug-16,10-Aug-16,30-Jun-20,31-Aug-21,31-Aug-21,30-Jun-21,1,28-Feb-22,SB-0006295,S1-32GFL-000617,P1-33GFL-000617,"$5,000,000"," 19,799,779 ",Aska Ochiel ,George Saddimbah,Weldon Lemein,,,,GFL,Biodiversity and Land Branch (BLB),,08/31/2021," 50,000 "," 450,000 "," 500,000 "
5744,UNEP,Bahamas,Latin America and the Caribbean,Strengthening Access and Benefit Sharing (ABS),Bahamas ABS,Christopher Cox,MSP,Under Implementation,Biodiversity,Ecosystem Management,14-May-14,,14-May-14,15-Feb-17,31-Aug-17,SB-000778.33,"$100,000.00",23-Feb-16,11-Apr-16,06-May-16,28-Feb-19,30-Apr-22,,28-Feb-23,1,,"SB-005655.01,SB-005655.02,SB-005655.03,SB-005655.04",S1-32GFL-000618,P1-33GFL-000901,"$1,900,000"," 2,042,292 ",Gloritzel Frangakis ,George Saddimbah,Weldon Lemein,Completed,N/A,,GFL,Biodiversity and Land Branch (BLB),,04/30/2022," 19,000 "," 171,000 "," 190,000 "
5746,UNEP,Mali,Africa,Scaling up Sustainable Land Management (SLM) to Strengthen Resilience of Local Communities to Adapt to Climate Change in the Koulikoro Region of Mali,SLM Mali - MSP,Adamou Bouhari,MSP,Under Implementation,Multi-focal Areas(LD),Ecosystems Management,12-May-14,13-Jun-16,12-May-14,16-Sep-15,28-Feb-17,SB-004370,"$100,000.00",14-Jun-16,06-Jul-17,07-Jul-17,31-Jul-21,31-Jul-22,,31-Jul-22,,31-Jul-22,SB-006393,S1-32GFL-000622,P1-33GFL-001126,"$1,543,835"," 7,785,000 ",Eric Mugo ,George Saddimbah,Linda Choge,Not Completed,Pending,31-Jul-22,GFL,Biodiversity and Land Branch (BLB),,07/31/2022," 15,438 "," 138,945 "," 154,384 "
5750,UNEP,Global,Global,Mainstreaming Sustainable Management of Tea Production Landscapes,Tea in Asia,Max Zieren,MSP,Completed,Land Degradation,Ecosystem Management,13-Mar-14,,,,,,$0.00,13-Mar-14,02-Oct-14,29-Sep-14,31-Mar-18,,31-Mar-18,31-Mar-18,,31-Mar-18,SB-000778.29,S1-32GFL-000561,P1-33GFL-000530,"$1,999,601"," 12,140,000 ",Peerayot Sidonrusmee,Janet Bwiza,Serah Shaiya,,,,GFL,Biodiversity and Land Branch (BLB),Closed,03/31/2018," 19,996 "," 179,964 "," 199,960 "
5774,UNEP,"Regional(Antigua And Barbuda, Barbados, Dominica,Grenada, Guyana, Jamaica, St. Kitts And Nevis, St.Lucia, Trinidad and Tobago, St. Vincent andGrenadines)",Latin America and the Caribbean,Advancing the Nagoya protocol in countries of the Caribbean Region.,Caribbean ABS MSP,Christopher Cox,MSP,Completed,Biodiversity,Ecosystem Management,14-May-14,,09-May-14,30-Jun-14,29-Jun-15,SB-000778.33,"$100,000.00",23-Jul-15,21-Sep-15,14-Sep-15,20-Sep-18,08-Aug-21,31-Mar-19,31-Jan-19,1,30-Sep-19,"SB-001167.01,SB-001167.02,SB-001167.03,SB-001167.04,SB-001167.05",S1-32GFL-000618,P1-33GFL-000793,"$1,826,000"," 3,809,257 ",Gloritzel Frangakis ,George Saddimbah,Michael Atogoh,Completed,Completed,,GFL,Biodiversity and Land Branch (BLB),,08/08/2021," 18,260 "," 164,340 "," 182,600 "
5775,UNEP,"Global (Ethiopia, Indonesia, India, Kenya, Niger)",Global,Building the Foundation for Forest Landscape Restoration at Scale,Forest Restoration,Ersin Esen,MSP,Completed,Land Degradation,Ecosystem Management,08-May-14,,08-May-14,19-Sep-14,15-Jul-15,SB-000768.05,"$100,000.00",31-Jul-15,01-Apr-15,11-Apr-15,30-Apr-19,31-Jul-19,30-Nov-19,30-May-20,2,,SB-004361 ,S1-32GFL-000620,P1-33GFL-000812,"$1,900,000"," 6,250,000 ",Aska Ochiel ,George Saddimbah,Weldon Lemein,,,,GFL,Biodiversity and Land Branch (BLB),Project technically completed. Terminal evaluation process to be initiated,11/30/2019," 19,000 "," 171,000 "," 190,000 "
5776,UNEP,Global,Global,"Supply Change: Securing Food, Sustaining Forests",Supply Change MSP,Ersin Esen,MSP,Completed,Biodiversity,Ecosystem Management,08-May-14,,08-May-14,20-Aug-14,30-Sep-14,SB-000776.29,"$100,000.00",25-Mar-15,17-Jun-15,29-Mar-15,31-May-18,,,31-Dec-19,,,SB-001124.01,S1-32GFL-000534,P1-33GFL-000666,"$1,900,000"," 2,725,000 ",Aska Ochiel ,George Saddimbah,Weldon Lemein,Completed,Completed,,GFL,Biodiversity and Land Branch (BLB),,05/31/2018," 19,000 "," 171,000 "," 190,000 "
5788,UNEP,Cote d' Ivoire,Africa,Assessment of Land Degradation Dynamic in Coffee -Cocoa production and Northern Ivory Coast to promote SLM practices and Carbon Stock Conservation ALDD SLM CSC,ALDD/SLM/CSC-MSP,Adamou Bouhari,MSP,Under Implementation,Land Degradation,Ecosystems Management,08-May-14,14-Nov-16,08-May-14,04-Jul-14,30-Nov-15,SB-000690.09,"$91,324.00",05-Dec-16,17-Mar-17,17-Mar-17,30-Mar-20,30-Sep-22,,30-Sep-23,1,30-Sep-23,SB-006685,S1-32GFL-000620,P1-33GFL-001274,"$1,726,027"," 9,750,000 ",Eric Mugo,George Saddimbah,Linda Choge,,,31-Mar-21,GFL,Biodiversity and Land Branch (BLB),,09/30/2022," 17,260 "," 155,342 "," 172,603 "
5802,UNEP,Senegal,Africa,Promoting SLM Practices to Restore and Enhance Carbon Stocks through Adoption of Green Rural Habitat Initiatives,Senegal MFA -MSP,Adamou Bouhari,MSP,Under Implementation,Multi-focal Areas(LD/CCM),Ecosystems Management,13-Jun-14,23-Sep-16,13-Jun-14,04-Jul-14,30-Nov-15,SB-000690.07,"$50,228.00",21-Oct-16,29-Jun-17,19-Jul-17,30-Jun-21,30-Jun-22,,30-Jun-22,,30-Jun-22,SB-006683,S1-32GFL-000622,P1-33GFL-001145,"$1,319,635"," 6,445,000 ",Eric Mugo,George Saddimbah,Linda Choge,Not Completed,Pending,30-Jun-22,GFL,Biodiversity and Land Branch (BLB),,06/30/2022," 13,196 "," 118,767 "," 131,964 "
5806,UNEP,Congo,Africa,Creation of Loungo Bay Marine Protected Area to support Turtles Conservation in Congo,Creation of Loungo Bay - Congo,Adamou Bouhari,MSP,Under Implementation,Biodiversity,Ecosystems Management,16-Jun-14,28-Sep-16,16-Jun-14,04-Jul-14,31-Dec-15,SB-000690.41,"$54,795.00",14-Oct-16,10-Apr-17,25-Apr-17,30-Apr-20,30-Apr-22,,30-Apr-22,1,30-Apr-22,SB-006686,S1-32GFL-000618,P1-33GFL-001106,"$712,329"," 2,635,000 ",Eric Mugo,George Saddimbah,Linda Choge,,,30-Apr-21,GFL,Biodiversity and Land Branch (BLB),,04/30/2022," 7,123 "," 64,110 "," 71,233 "
5811,UNEP,Regional,Africa,Closing the Gaps in Great Green Wall Linking sectors and stakeholders for increased synergy and scaling-up,Great Green Wall-  MSP,Adamou Bouhari,MSP,Under Implementation,Land Degradation,Ecosystems Management,02-Jun-14,03-Jun-16,02-Jun-14,14-Nov-14,30-Nov-15,SB-000883.16,"$100,000.00",13-Jun-16,01-Aug-16,01-Aug-16,31-May-20,30-Jun-22,,31-May-20,1,30-Jun-22, SB-006167,S1-32GFL-000620,P1-33GFL-001004,"$1,726,400"," 12,035,943 ",Eric Mugo,George Saddimbah,Linda Choge,,,31-May-20,GFL,Biodiversity and Land Branch (BLB),,06/30/2022," 17,264 "," 155,376 "," 172,640 "
5821,UNEP,Regional,Africa,Engaging Policy Makers and the Judiciary to Address Poaching and Illegal Wildlife Trade in Africa,Regional,Jane Nimpamya,MSP,Technically Completed,Biodiversity,Ecosystem Management,21-May-14,,21-May-14,21-Aug-14,30-Jun-15,SB-000690.16,"$100,000.00",12-Feb-15,20-Mar-15,18-Mar-15,30-Apr-20,,,30-Apr-20,,30-Apr-21,"SB-000690.16,SB-000690.16.01",S1-32GFL-000530,P1-33GFL-000008,"$1,900,000"," 5,687,930 ",Evelyn Machasio,George Saddimbah,Michael Atogoh,,,,GFL,Biodiversity and Land Branch (BLB),,04/30/2020," 19,000 "," 171,000 "," 190,000 "
5822,UNEP,Serbia,Europe,"Enhanced Cross-Sectoral Land Management through Land Use Pressure Reductionand Planning",Serbia MSP,Ersin Esen,MSP,Technically Completed,Land Degradation,Ecosystem Management,08-May-14,,08-May-14,03-Sep-14,31-Dec-15,SB-000690.19,"$27,397.00",01-Jul-15,07-Oct-15,05-Oct-15,30-Sep-19,30-Sep-21,,31-Mar-22,1,, SB-004352,S1-32GFL-000620,,"$661,644"," 5,636,000 ",Evelyn Machasio,George Saddimbah,Weldon Lemein,Completed,,,GFL,Biodiversity and Land Branch (BLB),,09/30/2021," 6,616 "," 59,548 "," 66,164 "
5823,UNEP,Bangladesh,Asia Pacific,Establishing National Land Use and Land Degradation Profile toward Mainstreaming SLM Practices in Sector Policies,ENALULDEP/SLM BANGLADESH,Johan Robinson,MSP,Under Implementation,Land Degradation,Ecosystem Management,08-May-14,,08-May-14,06-Jan-15,30-Oct-15,SB-000883.15,"$18,265.00",23-May-16,27-Feb-17,08-Feb-17,31-May-20,30-Jun-22,,28-Feb-21,2,31-Oct-22, SB-007772.01,S1-32GFL-000620,P1-33GFL-001088,"$730,594"," 3,280,000 ",Peerayot Sidonrusmee,Janet Bwiza,Serah Shaiya,,,,GFL,Biodiversity and Land Branch (BLB),,06/30/2022," 7,306 "," 65,753 "," 73,059 "
5824,UNEP,"Global (China, Ethiopia, Indonesia, Kenya, Peru, Vietnam)",Global,Sharing Knowledge on the Use of Biochar for Sustainable Land Management,Biochar,Ersin Esen ,MSP,Closed,Land Degradation,Ecosystem Management,22-May-14,,,,,,$0.00,22-May-14,15-Dec-14,12-Dec-14,21-Dec-18,,,28-Feb-19,2,,SB-000883.22,S1-32GFL-000576,P1-33GFL-000570,"$1,826,484"," 1,257,800 ",Aska Ochiel ,George Saddimbah,Weldon Lemein,Completed,Completed,,GFL,Biodiversity and Land Branch (BLB),,12/21/2018," 18,265 "," 164,384 "," 182,648 "
5825,UNEP,Georgia ,Europe,Applying Landscape and Sustainable Land Management (L-SLM) for Mitigating Land Degradation and Contributing to Poverty Reduction in Rural Areas,SLM Georgia  MSP,Ersin Esen,MSP,Technically Completed,Land Degradation,Ecosystem Management,19-May-14,,19-May-14,19-Aug-14,19-Aug-14,SB-000690.15,"$45,662.00",04-Feb-16,31-May-16,30-May-16,30-Apr-19,30-Apr-20,30-Nov-20,30-Oct-20,1,31-May-21,SB-005797,S1-32GFL-000620,P1-33GFL-000962,"$923,484"," 3,652,968 ",Eric Mugo,George Saddimbah,Weldon Lemein,Completed,,,GFL,Biodiversity and Land Branch (BLB),,11/30/2020," 9,235 "," 83,114 "," 92,348 "
5877,UNEP,Botswana,Africa,Support to Alignment of Botswana's National Action Programme to the UNCCD 10-Year Strategy implementation and Reporting review Process,4C54,Adamou Bouhari,EA,Completed,Land Degradation,Ecosystems Management,09-Jun-14,05-Jun-14,,,,,$0.00,11-Jun-14,07-Aug-18,04-Aug-14,30-Jun-16,30-Jun-19,30-Jun-19,30-Jun-19,,30-Jun-19,SB-000762.24.21,S1-32GFL-000380,P1-33GFL-000365,"$136,986"," 155,000 ",Eric Mugo,George Saddimbah,Linda Choge,N/A,N/A,31-Dec-16,GFL,Biodiversity and Land Branch (BLB),,06/30/2019," 1,370 "," 12,329 "," 13,699 "
5880,UNEP,"Global (Bolivia, Brazil, Botswana, Belize, Cote d'Ivoire, Cameroon, Colombia, Costa Rica, Dominican Republic, Ecuador, Guatemala, Guinea-Bissau, Honduras, Jamaica, Kenya, Madagascar, Mauritania, Malawi, Mexico, Mozambique, Panama, Peru, Paraguay, Suriname, El Salvador, Tanzania, Uganda, South Africa)",Global,Knowledge for Action: Promoting Innovation among Environmental Funds,Project K,Robert Erath,MSP,Completed,Biodiversity,Ecosystem Management,13-Jun-14,,,,,,$0.00,14-Oct-15,10-Dec-15,27-Nov-15,,08-Dec-18,08-Jun-20,31-Dec-19,1,31-Dec-20, SB-005094,S1-32GFL-000618,P1-33GFL-000855,"$913,240"," 3,854,050 ",Gloritzel Frangakis ,Janet Bwiza,Lilian Musyoka,N/A,Completed,,GFL,Biodiversity and Land Branch (BLB),,06/08/2020," 9,132 "," 82,192 "," 91,324 "
5882,UNEP,Gabon ,Africa,Gabon - Implementation of National Strategy and Action Plan on Access to Genetic Resources and The Fair and Equitable Sharing of Benefits Accruing From Their Utilization,ABS Gabon MSP,Adamou Bouhari,MSP,Under Implementation,Biodiversity,Ecosystems Management,10-Jun-14,25-Nov-15,10-Jun-14,,30-Jun-16,SB-000778.33,"$50,000.00",14-Jan-16,12-Sep-16,21-Jun-16,31-Mar-20,31-Mar-22,,31-Mar-20,1,30-Sep-22, SB-005823,S1-32GFL-000618,P1-33NPL-000024,"$863,200"," 1,790,000 ",Eric Mugo,George Saddimbah,Linda Choge,,,,GFL,Biodiversity and Land Branch (BLB),,03/31/2022," 8,632 "," 77,688 "," 86,320 "
5883,UNEP,Samoa,Asia Pacific,Support to Alignment of Samoa's National Action Programme (NAP) to the UNCCD 10 Year Strategy and Preparation of the Reporting and Review process.,4C54,Adamou Bouhari,EA,Completed,Land Degradation,Ecosystems Management,11-Jun-14,05-Jun-14,,,,N/A,$0.00,11-Jun-14,14-Nov-14,07-Nov-14,30-Jun-16,,30-Jun-16,31-Dec-16,,31-Dec-16,SB-000762,S1-32GFL-000380,P1-33GFL-000540,"$136,986"," 160,000 ",Eric Mugo,George Saddimbah,Linda Choge,N/A,N/A,31-Dec-16,GFL,Biodiversity and Land Branch (BLB),,06/30/2016," 1,370 "," 12,329 "," 13,699 "
5884,UNEP,Yemen,West Asia,"Support to the Alignment of National Action Programme to the UNCCD 10 Years Strategy andReporting Process",4C54,Adamou Bouhari,EA,CEO Endorsed,Land Degradation,Ecosystems Management,11-Jun-14,10-Jun-14,,,,N/A,$0.00,11-Jun-14,,,,,,,,,SB-000762,S1-32GFL-000380, -,"$136,986"," 150,000 ",Eric Mugo,George Saddimbah,Linda Choge,N/A,N/A,,GFL,Biodiversity and Land Branch (BLB),Project yet to commence due to instability,12/30/1899," 1,370 "," 12,329 "," 13,699 "
5885,UNEP,Kiribati,Asia Pacific,Support to Alignment of Kiribati's National Action Programme to the UNCCD Ten-Year Strategy and Reporting Process,4C54,Adamou Bouhari,EA,Completed,Land Degradation,Ecosystems Management,12-Jun-14,10-Jun-14,,,,N/A,$0.00,12-Jun-14,04-Sep-14,26-Aug-14,30-Jun-16,31-Dec-17,31-Dec-17,30-Dec-16,1,30-Dec-17,SB-000762.24.69,S1-32GFL-000380,P1-33GFL-000488,"$136,986"," 155,000 ",Eric Mugo,George Saddimbah,Linda Choge,N/A,N/A,31-Dec-16,GFL,Biodiversity and Land Branch (BLB),,12/31/2017," 1,370 "," 12,329 "," 13,699 "
5889,UNEP,Lebanon,West Asia,"Support to Alignment of Lebanon's National Action Programme to the UNCCD 10 Year Strategy andReporting Process.",4C54,Adamou Bouhari,EA,Completed,Land Degradation,Ecosystems Management,11-Jun-14,10-Jun-14,,,,N/A,$0.00,11-Jun-14,18-Jun-15,19-Feb-15,31-Dec-16,31-Dec-17,31-Dec-18,31-Dec-17,,31-Dec-18,SB-000762.24.88,S1-32GFL-000380,P1-33GFL-000686,"$136,986"," 155,000 ",Eric Mugo,George Saddimbah,Linda Choge,N/A,N/A,31-Dec-16,GFL,Biodiversity and Land Branch (BLB),,12/31/2018," 1,370 "," 12,329 "," 13,699 "
5890,UNEP,Seychelles,Africa,Support to Alignment of Seychelles National Action Programme to the UNCCD Ten-Year Strategy and Reporting Process,4C54,Adamou Bouhari,EA,Under Implementation,Land Degradation,Ecosystems Management,13-Jun-14,11-Jun-14,,,,N/A,$0.00,13-Jun-14,10-Sep-15,25-Aug-15,31-Dec-18,30-Mar-22,,31-Dec-19,1,30-Mar-22,SB-000762.24.94,S1-32GFL-000380,P1-33GFL-001076,"$136,986"," 150,000 ",Eric Mugo,George Saddimbah,Linda Choge,N/A,N/A,,GFL,Biodiversity and Land Branch (BLB),,03/30/2022," 1,370 "," 12,329 "," 13,699 "
