ProductionProcess,ImpactDriver,RAG,Justification
Production of forest and wood-based products,Terrestrial ecosystem use,H,"Clear cutting for forestry plantations can cause large scale biodiversity loss, alter habitats and increase soil degradation. Forest management or removal and replacement with exotics may deprive some animals of food and shelter, and may attract and harbour pests. Logging and leftover ground vegetation may increase fire risk. Compaction, exposure, and damage due to forestry activities may alter soil characteristics and vegetation types, making them more vulnerable to erosion and landslides."
Production of forest and wood-based products,Water pollutants,H,"The use of heavy machinery, charcoal production, and saw dust leachate at sites increase levels of water pollution."
Production of leisure or personal products,GHG emissions,H,Processes involved in the production of personal care products lead to environmental pollution (e.g. CO2 or other GHG emissions).
Production of leisure or personal products,Non-GHG air pollutants,M,"Manufacturing processes of leisure products lead to nonproduct outputs, which include gaseous emissions. Other forms of pollution may occur as a result of using certain materials and substances such as acids, solvents, compressed gases, solders, paints, oils and other chemicals."
Production of leisure or personal products,Soil pollutants,M,"Pollution may occur as a result of using certain materials and substances such as acids, solvents, compressed gases, solders, paints, oils and other chemicals."
Production of leisure or personal products,Solid waste,H,"Manufacturing processes of leisure products lead to nonproduct outputs, which include waste material, some of which is reused or recycled."
Production of leisure or personal products,Water pollutants,M,"Manufacturing processes lead to nonproduct outputs, including liquids. Other forms of pollution may result from use of materials and substances such as acids, solvents, compressed gases, solders, paints, oils and other chemicals. Microplastic pollution in particular is a growing threat in the world's oceans. Microbeads are commonly used in personal care products like face scrubs and toothpaste. Chemical substances used in makeup and other cosmetics do not break down and persist in waterways."
Production of leisure or personal products,Water use,H,Manufacturing processes and facilities use water throughout their operations for production. Water consumption by the personal products industry is recognised as leading directly to increased water abstraction.
Production of paper products,Non-GHG air pollutants,M,The environmental impact of pulp and paper manufacture results mainly from wood pulping and pulp bleaching processes. Major sources of air pollution include sulphur compounds and nitrogen oxides.
Production of paper products,Soil pollutants,H,"Pulp mills contribute to air, water and land pollution. Pulp and paper is among the largest industrial polluter to air, water, and land in some countries, and the industry releases well over 100 million kg of toxic pollution each year."
Production of paper products,Water pollutants,H,"The environmental impact of pulp and paper manufacture results mainly from wood pulping and pulp bleaching processes. Major sources of water pollution include bleached chlorinated and organic compounds, and nutrients which are discharged through wastewaters."
Production of paper products,Water use,VH,"Pulp mills use large volumes of water for soaking pulp before producing paper. Water recycling systems can be put in place to reduce the severity of this impact on local water resources. However, this is not yet a common practice across the entire industry."
Provision of health care,GHG emissions,H,Greenhouse gas emissions from hospitals are substantial and lead to increased air pollution. These emissions can occur from practices such as incineration of hazardous or contaminated waste.
Provision of health care,Soil pollutants,M,Waste from products (e.g. chemicals) can have substantial environmental impacts.
Provision of health care,Solid waste,M,"Office buildings associated with service provision create large volumes of solid waste, which contributes to municipal solid waste. The exact types of solid waste produced will vary, but these can include non-product outputs such as glass, metal, plastic, paper and cardboard, wood, and rubber and leather."
Provision of health care,Water pollutants,M,Waste from products (e.g. chemicals) can have substantial environmental impacts.
Railway transportation,Disturbances,H,"Passage of trains can cause noise pollution, for example, noise levels of diesel trains have been reported at 100 dB(A). Disruption from operations can result in the loss of populations of wild species in a localised area."
Railway transportation,GHG emissions,H,"Railways can lead to air pollution. Major potential greenhouse gas pollutant emissions include: carbon dioxide (CO2), hydrofluorocarbons, and other indirect greenhouse gases."
Railway transportation,Non-GHG air pollutants,H,"Railways can lead to air pollution. Major potential non-greenhouse gas pollutant emissions include: carbon monoxide (CO), sulphur dioxide (SO2), nitrogen oxides (NOx), hydrocarbons, particulates, and volatile organic compounds (VOCs)."
Railway transportation,Soil pollutants,L,Pollution of soils may result from waste and litter. Changes to soil chemistry can occur from mixing of soils due to excavation and storage during construction processes.
Railway transportation,Water pollutants,L,Water pollution may result from waste and litter.
Real estate activities,GHG emissions,H,The use of heavy machinery leads to greenhouse gas emissions.
Real estate activities,Non-GHG air pollutants,M,"Real estate building projects can cause pollution through emission of fossil fuels and spills of diesel, paints, solvents, and toxic chemicals. In some areas of the world, there are less stringent requirements for the disposal of toxic construction waste products, resulting in significant local environmental damage following a construction project."
Real estate activities,Soil pollutants,M,"Real estate building projects can cause pollution through spills of diesel, paints, solvents, and toxic chemicals. In some areas of the world, there are less stringent requirements for the disposal of toxic construction waste products, resulting in significant local environmental damage following a construction project."
Real estate activities,Solid waste,H,"Real estate manufacturing production processes and office buildings associated with service provision lead to creation of large volumes of solid waste. The exact types of solid waste produced will vary, but these can include non-product outputs such as glass, metal, plastic, paper and cardboard, wood, and rubber and leather. "
Real estate activities,Terrestrial ecosystem use,VH,"Building and developing property can result in the clearing and degradation of habitats, leading to loss of biodiversity and natural capital on the construction sites and surrounding areas. The use of vehicles and heavy machinery can cause soil compaction, which can impede root growth. Construction may lead to flooding as hard surfaces reduce the land's capacity to absorb rain water."
Real estate activities,Water pollutants,M,"Real estate building projects can cause pollution through spills of diesel, paints, solvents, and toxic chemicals. In some areas of the world, there are less stringent requirements for the disposal of toxic construction waste products, resulting in significant local environmental damage following a construction project."
Recovery and separation of carbon dioxide,Disturbances,H,Noise pollution and vibrations occur due to the operation of machinery.
Recovery and separation of carbon dioxide,GHG emissions,H,Hydrofluorocarbons can be emitted by this production process (e.g. through coolant escape).
Recovery and separation of carbon dioxide,Non-GHG air pollutants,M,Volatile Organic Compounds (VOCs) can be emitted from coolant escape.
Recovery and separation of carbon dioxide,Soil pollutants,L,Oil based fluids used in pressure machinery can escape into nearby soils
Recovery and separation of carbon dioxide,Solid waste,M,Harmful metals are used as catalysts and can be emitted if not properly disposed of.
Recovery and separation of carbon dioxide,Water pollutants,L,Oil based fluids used in pressure machinery can escape into water courses.
Restaurant provision,Solid waste,M,"Waste is produced by offices and service centres, and non-recycling of materials."
Saltwater wild-caught fish,Marine ecosystem use,VH,"Certain types of fishing gear can heavily damage benthic environments (sea floor), leading to habitat degradation and associated impacts on species."
Saltwater wild-caught fish,Other resource use,H,"Approximately 87% of wild fisheries are exploited unsustainably (fish are removed at rates higher than species' recovery rates), leading to overfishing on a global scale. Entire populations of fish species can collapse due to wild fishing, including non-target species (referred to as bycatch)."
Saltwater wild-caught fish,Water pollutants,M,Fuel used for fishing boats and ships pollutes the marine environment.
Small-scale forestry,GHG emissions,H,"The use of heavy machinery, charcoal making and saw dust leachate at sites increase greenhouse gas emissions."
Small-scale forestry,Soil pollutants,M,"The use of heavy machinery, charcoal production, and saw dust leachate at sites increase levels of soil pollution."
Small-scale forestry,Terrestrial ecosystem use,VH,"Clear cutting for forestry plantations can cause large scale biodiversity loss, alter habitats and increase soil degradation. Forest management or removal and replacement with exotics may deprive some animals of food and shelter, and may attract and harbour pests. Logging and leftover ground vegetation may increase fire risk. Compaction, exposure, and damage due to forestry activities may alter soil characteristics and vegetation types, making them more vulnerable to erosion and landslides."
Small-scale forestry,Water pollutants,M,"The use of heavy machinery, charcoal production, and saw dust leachate at sites increase levels of water pollution."
Small-scale irrigated arable crops,Freshwater ecosystem use,H,"Expansion of irrigated arable crops has led to increased habitat modification, in particular through drainage (e.g. of wetlands) and conversion of natural habitats to croplands. Drainage of wetlands for irrigation can lead to increased spread and settlement of invasive species."
Small-scale irrigated arable crops,Soil pollutants,M,"Herbicide and pesticide use for arable crops leads to substantial environmental pollution, particularly of soils."
Small-scale irrigated arable crops,Terrestrial ecosystem use,VH,Expansion of irrigated arable crops has led to increased habitat modification and conversion of natural habitats to croplands.
Small-scale irrigated arable crops,Water pollutants,M,"Herbicide and pesticide use for arable crops leads to substantial environmental pollution, particularly of nearby water bodies (surface and ground water) and soils."
Small-scale irrigated arable crops,Water use,H,"Irrigation of arable crops leads to a substantial water footprint, which may be unsustainable in many areas of the world."
Small-scale livestock (beef and dairy),GHG emissions,H,"Greenhouse gas emissions, particularly methane, from beef and dairy farms lead to higher levels of atmospheric pollution."
Small-scale livestock (beef and dairy),Soil pollutants,M,"If untreated, run-off from beef and dairy farms (e.g. from nutrients and manure) leads to a significant increase in pollution of soils. Livestock and dairy farming significantly accelerates soil erosion globally."
Small-scale livestock (beef and dairy),Terrestrial ecosystem use,VH,"Extensive areas of land are cleared and converted to rear beef and dairy livestock. Rearing of cattle for beef production is linked to intensive farming of crops used in feed, such as soy."
Small-scale livestock (beef and dairy),Water pollutants,M,"If untreated, run-off from beef and dairy farms (e.g. from nutrients and manure) leads to a significant increase in pollution of water bodies."
Small-scale livestock (beef and dairy),Water use,H,"Beef and dairy production has a significant water footprint. Dairy production for example is estimated at 1,000 Litres of water per Litre of milk over the entire supply chain. Water abstraction (for example for beef production or to sustain dairy cows and maintain their pasture lands) can contribute to local water stress. When this coincides with adverse weather conditions this can increase the risk of drought."
Small-scale rainfed arable crops,Other resource use,L,Preferential selection of crop species to meet consumer demand leads to reduced genetic diversity.
Small-scale rainfed arable crops,Soil pollutants,M,"Herbicide and pesticide use for arable crops leads to substantial environmental pollution, particularly of soils."
Small-scale rainfed arable crops,Terrestrial ecosystem use,VH,"Agricultural expansion in areas that rely on rainwater as a water source, leads to conversion and degradation of natural habitats. Poor management practices in rainfed agriculture systems lead to increased soil erosion and decreases in soil moisture. Rainfed arable crops can reduce the severity of flooding when appropriate soil management practices are adopted."
Small-scale rainfed arable crops,Water pollutants,M,"Herbicide and pesticide use for arable crops leads to substantial environmental pollution, particularly of nearby water bodies (surface and ground water) and soils."
Solar energy provision,Soil pollutants,L,"Potentially toxic or hazardous substances are sometimes used when constructing solar thermal farms, which can result in pollution on a local basis."
Solar energy provision,Terrestrial ecosystem use,VH,"Solar energy farms (photovoltaic and solar thermal) use land, which modifies habitats. The severity of this impact depends on the type of land being converted to create the farm. The footprint of a typical solar farm is estimated at 22.5-25.9 m2/GWh. Solar farms often include a fence or other barrier along their perimeter, which can affect species' movement and lead to habitat fragmentation. Soil compaction may occur from solar farm installation, which can lead to increased erosion and runoff."
Solar energy provision,Water pollutants,L,"Potentially toxic or hazardous substances are sometimes used when constructing solar thermal farms, which can result in pollution on a local basis."
Solar energy provision,Water use,VH,"Certain types of solar thermal power generating technologies require large amounts of water for cooling purposes, which leads to a substantial water footprint."
Solids processing,GHG emissions,H,"Potential greenhouse gas air pollutants may include carbon dioxide, nitrogen oxides, sulphur hexafluorides and sulphur dioxide."
Solids processing,Non-GHG air pollutants,M,"Potential non-greenhouse gas air pollutants may include carbon monoxide, lead, VOCs (volatile organic compounds) and PM (particulate matter)."
Solids processing,Soil pollutants,H,"The land at sites could be contaminated by harmful substances such as oils and tars, heavy metals, asbestos and chemicals."
Solids processing,Water pollutants,H,"Process water may be discharged, carrying contaminated water into natural water systems."
Steel production,GHG emissions,H,"Steel production is energy intensive and uses a large amount of coal coke and natural gas, which emit greenhouse gases into the atmosphere. Additionally, sulphur dioxide and hydrogen sulphide are emitted from waste slag and impurities."
Steel production,Solid waste,H,"Manufacturing production processes lead to creation of large volumes of solid waste. The exact types of solid waste produced will vary, but these can include non-product outputs such as glass, metal, plastic, paper and cardboard, wood, and rubber and leather."
Steel production,Water use,H,Water is used for the quenching of coal coke in production processes. Large-scale water abstraction from groundwater aquifers can contribute to increasing severity and/or frequency of droughts.
Synthetic fertilizer production,Non-GHG air pollutants,H,Nitrogen oxides are emitted from the Haber process. Grinding of phosphate rock for use in the Odda process (nitro phosphate process) requires energy and fuel consumption results in the emission of carbon dioxide.
Synthetic fertilizer production,Soil pollutants,H,"Ammonia and acidic fumes may be created in the vicinity of production plants (nitro phosphate process), which can cause damage to vegetation."
Synthetic fertilizer production,Water pollutants,L,"Nitrogen oxides are emitted from haber process, which contribute to increased likelihood of acid rain."
Synthetic fertilizer production,Water use,H,Water is used in cooling processes (nitro phosphate process) due to the exothermic nature of reactions in the neutralisation phase. Water abstraction can impact on groundwater and surface water sources.
Synthetic fibre production,Non-GHG air pollutants,H,"Manufacturing processes lead to nonproduct outputs, which include gaseous emissions. Other forms of pollution may occur as a result of using certain materials and substances such as acids, solvents, compressed gases, colourants, binders, solders, paints, oils and other chemicals."
Synthetic fibre production,Soil pollutants,M,"Pollution may occur as a result of using certain materials and substances such as acids, solvents, compressed gases, colourants, binders, solders, paints, oils and other chemicals."
Synthetic fibre production,Solid waste,H,"Manufacturing processes lead to nonproduct outputs, which include waste material, some of which is reused or recycled."
Synthetic fibre production,Water pollutants,M,"Manufacturing processes lead to nonproduct outputs, which include liquids. Other forms of pollution may occur as a result of using certain materials and substances such as acids, solvents, compressed gases, colourants, binders, solders, paints, oils and other chemicals."
Synthetic fibre production,Water use,H,"Manufacturing processes and facilities use water throughout their operations for production. However, less water is used compared to natural fibre production."
Telecommunication and wireless services,Soil pollutants,L,Utility poles are usually made from wood and are treated with chemicals to protect the wood from insects and fungi. When the poles are disposed of these chemicals can contaminate soils.
Telecommunication and wireless services,Solid waste,M,"Office buildings associated with service provision create large volumes of solid waste, which contributes to municipal solid waste. The exact types of solid waste produced will vary, but these can include non-product outputs such as glass, metal, plastic, paper and cardboard, wood, and rubber and leather."
Telecommunication and wireless services,Terrestrial ecosystem use,H,"Wireless telecommunication services, through the masts and base stations that they use, can lead to habitat modification (loss of vegetation, soil and other land cover). Use of pylons can lead to the loss of vegetation and trees along the overhead lines. Trees and vegetation are removed for electrical safety reasons."
Telecommunication and wireless services,Water pollutants,L,Utility poles are usually made from wood and are treated with chemicals to protect the wood from insects and fungi. When the poles are disposed of these chemicals can leach into groundwater.
Tobacco production,GHG emissions,H,Greenhouse gas emissions from wood burning during curing processes lead to atmospheric pollution.
Tobacco production,Other resource use,L,Preferential selection of certain species of tobacco plants to meet consumer demand leads to reduced genetic diversity.
Tobacco production,Soil pollutants,H,"Tobacco production contributes large amounts of liquid and solid waste contaminated by nicotine and chemicals, which leads to higher levels of environmental pollution."
Tobacco production,Terrestrial ecosystem use,VH,"Tobacco production processes require large amounts of wood, which leads to a direct increase in deforestation and habitat conversion to meet demand."
Tobacco production,Water pollutants,H,"Tobacco production contributes large amounts of liquid and solid waste contaminated by nicotine and chemicals, which leads to higher levels of environmental pollution."
Tobacco production,Water use,H,"Tobacco production processes require large amounts of water (estimated at between 2,720-5,140 m3 of water), leading to increased water abstraction on a local basis."
Tyre and rubber production,Disturbances,H,The production of tyres result in odour and noise.
Tyre and rubber production,GHG emissions,H,"Tyre and rubber manufacturing processes can emit significant volumes of Greenhouse Gases. This impact can be reduced, for example by maximising manufacturing efficiency."
Tyre and rubber production,Non-GHG air pollutants,M,"The production of tyres result in odour, dust emissions and solvent emissions."
Tyre and rubber production,Soil pollutants,M,Nearby soils can be polluted by wastewater from rubber mills.
Tyre and rubber production,Solid waste,H,The production of tyres results in waste.
Tyre and rubber production,Water pollutants,M,Rivers can be polluted by effluent from rubber mills.
Tyre and rubber production,Water use,H,"Tyre and rubber manufacturing processes require large quantities of water, which often come from natural water sources."
Vulcanisation,GHG emissions,H,"Vulcanisation occurs at 140 degrees Celsius, the energy cost of which results in release of greenhouse gases into the atmosphere. When energy is produced on-site this directly contributes to global GHG emissions. When energy is sourced from utilities, this constitutes an impact under the relevant energy production processes."
Vulcanisation,Non-GHG air pollutants,H,"Tyrene, toluene, ethylbenzene, and several oligomers of 1,3-butadiene organic substances are emitted from vulcanisation processes."
Vulcanisation,Soil pollutants,L,"Waste can be contaminated with oil based and inorganic compounds, which can cause degradation of nearby soils on accidental release and/or inappropriate disposal."
Vulcanisation,Solid waste,H,"Manufacturing production processes lead to creation of large volumes of solid waste. The exact types of solid waste produced will vary, but these can include non-product outputs such as glass, metal, plastic, paper and cardboard, wood, and rubber and leather."
Vulcanisation,Water pollutants,L,"Waste can be contaminated with oil based and inorganic compounds, which can cause degradation of localised surface and groundwater systems on accidental release and/or inappropriate disposal."
Vulcanisation,Water use,H,"Water is used in cooling, washing and boiler blow down in various aspects of the production process. Large-scale water abstraction from groundwater aquifers can contribute to increasing likelihood and/or severity of droughts."
"Water services (e.g. waste water, treatment and distribution)",Freshwater ecosystem use,H,"Water abstraction for distribution can negatively impact sensitive habitats and ecosystems if abstraction levels exceed a sustainable threshold (location dependent). Water withdrawal mechanisms used to collect water for distribution purposes can harm or kill aquatic species. Water abstraction for the distribution of water can lead to land subsidence, which can impact on freshwater ecosystems."
"Water services (e.g. waste water, treatment and distribution)",Soil pollutants,L,Accidental discharges of wastewater into the terrestrial environment can result in well contamination and spread of odours. 
"Water services (e.g. waste water, treatment and distribution)",Terrestrial ecosystem use,H,"Water that is distributed to end users (individuals and commercial, industrial or agricultural entities) impacts on sensitive habitats and ecosystems if abstraction levels exceed a sustainable threshold (location dependent). On a local basis, water abstraction for distribution may compete with intensive agriculture and aquaculture."
"Water services (e.g. waste water, treatment and distribution)",Water pollutants,L,"Water that is distributed to end users (individuals and commercial, industrial or agricultural entities) contributes to water abstraction since it is removed directly from freshwater sources (e.g. ground water aquifers and surface water bodies). This can have associated impacts on sensitive habitats and ecosystems if abstraction levels exceed a sustainable threshold (location dependent). On a local basis, water abstraction for distribution may compete with intensive agriculture and aquaculture."
"Water services (e.g. waste water, treatment and distribution)",Water use,H,"Water that is distributed to end users (individuals and commercial, industrial or agricultural entities) contributes to water abstraction since it is removed directly from freshwater sources (e.g. ground water aquifers and surface water bodies). This can have associated impacts on sensitive habitats and ecosystems if abstraction levels exceed a sustainable threshold (location dependent). On a local basis, water abstraction for distribution may compete with intensive agriculture and aquaculture."
Wind energy provision,Disturbances,M,"Noise pollution during the construction phase can reach 80 km in the marine environment. Injury or death through collision with turbine blades is common, especially in birds and bats. Turbine construction can disrupt birds' breeding and foraging behaviour and, if inappropriately sited, can lead to habitat destruction. Disturbance to breeding and foraging birds has been recorded up to 800 m around individual wind turbines."
Wind energy provision,Freshwater ecosystem use,M,Construction of onshore wind farms may lead to habitat modification in freshwater environments.
Wind energy provision,Marine ecosystem use,H,Construction of offshore wind farms leads to habitat modification in the marine environment.
Wind energy provision,Soil pollutants,L,Maintenance activities can cause soil pollution from oil or other waste products.
Wind energy provision,Terrestrial ecosystem use,H,Construction of onshore wind farms leads to habitat modification in the terrestrial environment.
Wind energy provision,Water pollutants,L,Maintenance activities can cause pollution from oil or other waste products.
