ProductionProcess,ImpactDriver,Justification
Minería,Contaminantes atmosféricos no GEI,"Las especies de cianuro que se emplean en los procesos de lixiviación son susceptibles a vaporización, lo que ocasiona la liberación de cianuro (un compuesto tóxico) a la atmósfera. Al secarse, determinadas sustancias (por ejemplo, ganga de carbón) pueden convertirse en polvo tóxico que es liberado a la atmósfera y se esparce. "
Minería,Contaminantes del agua,"Las minas pueden filtrar aguas residuales acidificadas o contener altas concentraciones de metales pesados y otros productos químicos tóxicos (por ejemplo, ácido sulfúrico, cianuro, mercurio, arsénico). Estos productos pueden tener un impacto negativo en los hábitats y las especies, por ejemplo, al matar la vegetación del área de propagación. Los efectos son muy destructivos en humedales altamente sensibles a los cambios de pH. Las nubes de polvo y la deposición de minerales procedentes de las minas pueden alterar las características del suelo, volviéndolo inadecuado para la vegetación nativa. "
Minería,Contaminantes del suelo,"Las minas pueden filtrar aguas residuales acidificadas o contener altas concentraciones de metales pesados y otros productos químicos tóxicos (por ejemplo, ácido sulfúrico, cianuro, mercurio, arsénico). Estos productos pueden tener un impacto negativo en los hábitats y las especies, por ejemplo, al matar la vegetación del área de propagación. Los efectos son muy destructivos en humedales altamente sensibles a los cambios de pH. Las nubes de polvo y la deposición de minerales procedentes de las minas pueden alterar las características del suelo, volviéndolo inadecuado para la vegetación nativa. "
Minería,Residuos sólidos,Los metales pesados liberados en las pilas de mineral donde ocurre la lixiviación puede tener un impacto negativo en la vegetación y las condiciones del suelo cuando están expuestos a derrames o fugas accidentales.
Minería,Perturbaciones,La actividad sísmica producto de las operaciones de voladura para fines de excavación puede ocasionar la migración de las especies de un área localizada.
Producción de fibras naturales,Uso de agua,Las plantas y procesos de fabricación usan agua en sus operaciones de producción. Se utiliza más agua para producir fibras naturales que para producir fibras sintéticas.
Producción de fibras naturales,Uso de ecosistema terrestre,"La producción de fibra natural requiere áreas extensas para el cultivo de fibra (por ejemplo, cáñamo, algodón). Esto trae como resultado la modificación de hábitats y, en algunos casos, la pérdida del hábitat natural. La producción de fibra natural requiere de una agricultura intensiva, lo que puede tener impactos en las especies y ecosistemas del área circundante. "
Producción de fibras naturales,Contaminantes atmosféricos no GEI,"Los procesos de fabricación generan materiales residuales de producción (MARP) que incluyen emisiones gaseosas. Se pueden producir otras formas de contaminación como resultado del uso de ciertos materiales y sustancias tales como ácidos, solventes, gases comprimidos, colorantes, aglutinantes, soldaduras, pinturas, aceites y otros productos químicos. "
Producción de fibras naturales,Contaminantes del agua,"Los procesos de fabricación generan materiales residuales de producción (MARP) que incluyen líquidos. Se pueden producir otras formas de contaminación como resultado del uso de ciertos materiales y sustancias tales como ácidos, solventes, gases comprimidos, colorantes, aglutinantes, soldaduras, pinturas, aceites y otros productos químicos. "
Producción de fibras naturales,Contaminantes del suelo,"Se puede producir contaminación como resultado del uso de ciertos materiales y sustancias tales como ácidos, solventes, gases comprimidos, colorantes, aglutinantes, soldaduras, pinturas, aceites y otros productos químicos. "
Producción de fibras naturales,Residuos sólidos,"Los procesos de fabricación generan materiales residuales de producción (MARP), que incluyen materiales de desecho, algunos de los cuales se reutilizan o reciclan. "
Combustión de gas natural,Uso de agua,Se utilizan grandes volúmenes de agua para enfriar el calor producido en reacciones químicas.
Combustión de gas natural,Uso de ecosistema terrestre,"El carburo cálcico y el acetileno son compuestos altamente inflamables que están propensos a explosión y combustión, lo que aumenta el riesgo de incendio. "
Combustión de gas natural,Emisiones de GEI,Se libera carbono a la atmósfera como resultado del elevado uso de energía en algunos procesos.
Combustión de gas natural,Contaminantes atmosféricos no GEI,"Los procesos húmedos liberan emisiones gaseosas de sustancias nocivas tales como sulfuro de hidrógeno, amoniaco y fosfina."
Combustión de gas natural,Contaminantes del agua,"El agua producida durante los distintos pasos de los procesos de producción está altamente contaminada con materiales tóxicos (metales pesados, amoniaco, ácido sulfúrico, hidróxido de sodio, petróleo y cloruro de calcio). Muchas de estas sustancias se disponen mediante la neutralización en pozos de cal. Las fugas y derrames accidentales de estos pozos pueden causar la contaminación de sistemas hídricos naturales. "
Estaciones de energía nuclear y térmica,Uso de agua,"Las centrales térmicas y nucleares requieren cantidades sustanciales de agua para sus procesos operativos de rutina, como por ejemplo para la producción de vapor y en los procesos de enfriamiento. Por ejemplo, las centrales nucleares de tamaño promedio (es decir, aproximadamente 1,487 MW) requieren un galón estadounidense por hora por cada kW de energía, lo que genera una huella hídrica significativa y aumenta los niveles de extracción del agua en las vertientes."
Estaciones de energía nuclear y térmica,Uso de ecosistema de agua dulce,"Cuando se utiliza agua para enfriar centrales térmicas, los mecanismos de retiro de agua pueden dañar o matar las especies acuáticas. "
Estaciones de energía nuclear y térmica,Emisiones de GEI,"Las centrales térmicas que emplean combustión de combustibles fósiles para calentar el agua y producir vapor (energía térmica) emiten gases de efecto invernadero (incluido el CO2). Las centrales nucleares también pueden emitir gases de efecto invernadero (por ejemplo, dióxido de carbono, óxidos nitrosos y dióxidos de sulfuro)."
Estaciones de energía nuclear y térmica,Contaminantes atmosféricos no GEI,"Las centrales térmicas que emplean combustión de combustibles fósiles para calentar el agua y producir vapor (energía térmica) emiten dióxido de sulfuro, óxidos de nitrógeno, material particulado y monóxido de carbono. Las centrales nucleares pueden emitir gases (por ejemplo, monóxido de carbono) y sustancias radiactivas (por ejemplo, CH14 y H3), los cuales contaminan la vegetación y reducen la productividad de los suelos."
Estaciones de energía nuclear y térmica,Contaminantes del agua,Las aguas residuales resultantes de los procesos de enfriamiento de centrales nucleares que son devueltas a los cursos de agua pueden tener un impacto negativo en las especies acuáticas. Puede producirse contaminación térmica por más de 2Â°C hasta una distancia de 3 km desde el punto de descarga; esto puede ocurrir a pesar de que las emisiones de sustancias químicas y radiactivas de las centrales nucleares estén fuertemente controladas. Los hábitats acuáticos también pueden ser modificados por los grandes volúmenes de agua descargada por las centrales térmicas (especialmente las que emplean sistemas de refrigeración en circuito abierto).
Estaciones de energía nuclear y térmica,Contaminantes del suelo,"Las centrales nucleares pueden emitir gases (por ejemplo, dióxido de carbono, monóxido de carbono, óxidos nitrosos y dióxidos de sulfuro) y sustancias radiactivas (por ejemplo, CH14 y H3), los cuales contaminan la vegetación y reducen la productividad de los suelos."
Estaciones de energía nuclear y térmica,Residuos sólidos,"Las centrales nucleares producen diversos tipos de desechos sólidos, principalmente desechos nucleares peligrosos, que requieren un tratamiento y almacenamiento cuidadosos. Otros tipos de desechos sólidos incluyen resinas, lodos y medios filtrantes, entre otros. "
Estaciones de energía nuclear y térmica,Perturbaciones,"Las especies pueden verse afectadas por la contaminación acústica y lumínica durante las operaciones de rutina (por ejemplo, el tránsito de vehículos). "
Perforación de petróleo y gas,Uso de agua,"En las operaciones de perforación se requieren grandes volúmenes de agua para producir presión, aumentar la lubricación y enfriar aparatos. "
Perforación de petróleo y gas,Uso de ecosistema terrestre,Las perforaciones petroleras en tierra son perjudiciales para el medioambiente y pueden tener un impacto en los hábitats naturales.
Perforación de petróleo y gas,Uso de ecosistema de agua dulce,Las perforaciones petroleras en tierra son perjudiciales para el medioambiente y pueden tener un impacto en los hábitats naturales.
Perforación de petróleo y gas,Uso de ecosistema marino,Las perforaciones petroleras en el mar son perjudiciales para el medioambiente y pueden tener un impacto en los hábitats naturales.
Perforación de petróleo y gas,Contaminantes atmosféricos no GEI,"El agua producida, los gases de escape, los fluidos de perforación emitidos y los derrames o pérdidas accidentales de productos pueden causar efectos químicos negativos en los hábitats, ecosistemas y atmósfera circundantes. Las llamaradas de gas también pueden generar emisiones de hasta 200 materiales tóxicos distintos al área localizada."
Perforación de petróleo y gas,Contaminantes del agua,"El agua producida, los gases de escape, los fluidos de perforación emitidos y los derrames o pérdidas accidentales de productos pueden causar efectos químicos negativos en los hábitats, ecosistemas y atmósfera circundantes. En los hábitats marinos, los posibles contaminantes incluyen detritos de perforación, fluidos de perforación y agua procesada, los cuales pueden contaminar el agua drásticamente y matar vegetación bentónica y de agua dulce. "
Perforación de petróleo y gas,Contaminantes del suelo,"El agua producida, los gases de escape, los fluidos de perforación emitidos y los derrames o pérdidas accidentales de productos pueden causar efectos químicos negativos en los hábitats, ecosistemas y atmósfera circundantes. Se estima que una plataforma de perforación descarga más de 90,000 toneladas métricas de fluidos de perforación y restos metálicos durante su vida útil."
Perforación de petróleo y gas,Perturbaciones,La contaminación acústica causada por las perforaciones sísmicas asociadas puede tener un impacto negativo en las rutas de migración y los hábitats de las especies. La contaminación lumínica originada por las instalaciones tiene un efecto similar en ciertas especies.
Estudios de exploración de petróleo y gas,Uso de agua,"En todas las operaciones de petróleo y gas se utiliza agua para el personal, construcción (producción de cemento, asentamiento del polvo y construcción de plataformas de perforación petrolera a temperaturas bajo cero), perforación y completación de pozos, procesamiento ascendente (desalinizadores, bombas de circulación y refrigerantes). Usualmente, en estos procesos se drenan grandes cantidades de agua de áreas localizadas, las cuales pueden agotar las reservas de agua. Cuando esto coincide con condiciones climáticas adversas, puede aumentar significativamente el riesgo de sequías. "
Estudios de exploración de petróleo y gas,Uso de ecosistema terrestre,"La pérdida de vegetación puede perturbar las especies locales a través de la fragmentación de hábitats, alterando el comportamiento y reduciendo la integridad ecológica de los sistemas. La actividad sísmica puede generar flujos de masa, alterando los paisajes. Los productos de petróleo y gas y el uso de mecanismos y maquinaria de alta presión originan un alto riesgo de explosiones que pueden causar incendios localizados que pueden propagarse hacia zonas extensas. Los incendios pueden afectar severamente los hábitats locales, mientras que los productos químicos vaporizados pueden propagarse con el viento, causando impactos en hábitats más lejanos. "
Estudios de exploración de petróleo y gas,Uso de ecosistema de agua dulce,"La pérdida de vegetación puede perturbar la fauna de agua dulce al aumentar la fragmentación de hábitats, alterar el comportamiento de los animales y reducir la integridad ecológica de los sistemas. La actividad sísmica inducida por los métodos de producción puede ocasionar que los flujos de masa alteren los paisajes. "
Estudios de exploración de petróleo y gas,Emisiones de GEI,La liberación de carbono producto de incendios puede contribuir considerablemente a las emisiones de gas de efecto invernadero.
Estudios de exploración de petróleo y gas,Contaminantes atmosféricos no GEI,"El agua producida, los gases de escape, los fluidos de perforación emitidos y los derrames o pérdidas accidentales de productos pueden causar efectos químicos negativos en los hábitats, ecosistemas y atmósfera circundantes. Se estima que una plataforma de perforación descarga más de 90,000 toneladas métricas de fluidos de perforación y restos metálicos durante su vida útil. Las llamaradas de gas también pueden generar emisiones de hasta 200 materiales tóxicos distintos al área localizada."
Estudios de exploración de petróleo y gas,Contaminantes del agua,"El agua producida, los gases de escape, los fluidos de perforación emitidos y los derrames o pérdidas accidentales de productos pueden causar efectos químicos negativos en los hábitats, ecosistemas y atmósfera locales. Se estima que una plataforma de perforación descarga más de 90,000 toneladas métricas de fluidos de perforación y restos metálicos durante su vida útil. En los hábitats marinos, los posibles contaminantes incluyen detritos de perforación, fluidos de perforación y agua procesada, los cuales pueden contaminar el agua drásticamente y matar vegetación bentónica y de agua dulce."
Estudios de exploración de petróleo y gas,Contaminantes del suelo,"El agua producida, los gases de escape, los fluidos de perforación emitidos y los derrames o pérdidas accidentales de productos pueden causar efectos químicos negativos en los hábitats, ecosistemas y atmósfera circundantes. Se estima que una plataforma de perforación descarga más de 90,000 toneladas métricas de fluidos de perforación y restos metálicos durante su vida útil."
Estudios de exploración de petróleo y gas,Residuos sólidos,"La deposición de detritos de perforación puede dejar una cantidad considerable de residuos en áreas localizadas, provocando cambios geológicos a escala localizada. "
Estudios de exploración de petróleo y gas,Perturbaciones,"La contaminación acústica causada por las perforaciones sísmicas asociadas puede tener un impacto negativo en las rutas de migración y los hábitats de las especies. La contaminación lumínica originada por las instalaciones tiene un efecto similar en ciertas especies. La perturbación causada por las perforaciones sísmicas asociadas puede afectar de manera negativa las rutas de migración y los hábitats de determinadas especies, lo que puede provocar cambios considerables en la población. La pérdida de acceso a las zonas de reproducción también puede dar lugar a la reducción de las poblaciones cercanas a los lugares de perforación. "
Refinación de petróleo y gas,Uso de agua,"Usualmente, durante el procesamiento ascendente (desalinizadores, bombas de circulación y refrigerantes) se drenan grandes cantidades de agua de áreas localizadas. "
Refinación de petróleo y gas,Emisiones de GEI,"Los procesos de las refinerías emiten una cantidad significativa de contaminantes gaseosos (por ejemplo, metano) que pueden tener un impacto negativo en las condiciones atmosféricas. "
Refinación de petróleo y gas,Contaminantes atmosféricos no GEI,"Las emisiones químicas de óxidos de sulfuro y de nitrógeno pueden regresar al ambiente como lluvia ácida, causando un impacto negativo en los recursos naturales. Otros contaminantes del aire provenientes de las refinerías de petróleo y gas incluyen benceno, tolueno, etilbenceno, xileno, monóxido de carbono y material particulado. "
Refinación de petróleo y gas,Contaminantes del agua,"Los derrames y fugas de refinerías pueden elevar los niveles de toxicidad del agua en áreas localizadas. La contaminación basada en el agua puede matar la vegetación, produciendo un cambio en los hábitats de áreas localizadas. "
Refinación de petróleo y gas,Contaminantes del suelo,Los derrames y fugas de refinerías pueden elevar los niveles de toxicidad del suelo en áreas localizadas.
Servicios de petróleo y gas,Residuos sólidos,"Los edificios de oficinas asociados con la prestación de servicios generan grandes volúmenes de desechos sólidos que incrementan los desechos sólidos municipales. Los tipos exactos de desechos sólidos que se generen variarán, pero pueden incluir materiales residuales de producción (MARP) tales como vidrio, metal, plástico, papel y cartón, madera, y caucho y cuero. "
Almacenamiento de petróleo y gas,Uso de ecosistema terrestre,Algunas veces los hábitats son retirados de las áreas que se encuentran alrededor de las instalaciones de almacenamiento para evitar que los incendios forestales lleguen hasta dichas instalaciones. El retiro de los hábitats ubicados alrededor de las instalaciones de almacenamiento puede alterar los regímenes naturales de Incendios.
Almacenamiento de petróleo y gas,Contaminantes del agua,Los derrames o fugas accidentales procedentes de lugares de almacenamiento pueden causar contaminación acuática.
Almacenamiento de petróleo y gas,Contaminantes del suelo,Los derrames o fugas accidentales procedentes de lugares de almacenamiento pueden causar contaminación basada en el suelo.
Transporte de petróleo y gas,Uso de agua,Se necesita y extrae agua para crear emulsiones de aceite en agua para su transporte por ductos.
Transporte de petróleo y gas,Uso de ecosistema terrestre,"Las vías férreas, las carreteras y los ductos provocan la fragmentación de los hábitats en los ecosistemas terrestres."
Transporte de petróleo y gas,Uso de ecosistema de agua dulce,"Las vías férreas, las carreteras y los ductos provocan la fragmentación de los hábitats en los ecosistemas de agua dulce."
Transporte de petróleo y gas,Uso de ecosistema marino,"Las vías férreas, las carreteras y los ductos provocan la fragmentación de los hábitats en los ecosistemas marinos."
Transporte de petróleo y gas,Emisiones de GEI,"El transporte por camión, tren y barco da lugar a la emisión de gases de efecto invernadero, lo que contribuye a la contaminación atmosférica. "
Transporte de petróleo y gas,Contaminantes del agua,"Los derrames y fugas provenientes de lugares de almacenamiento, ductos y transporte motorizado pueden aumentar los niveles de toxicidad en los hábitats acuáticos. "
Transporte de petróleo y gas,Contaminantes del suelo,"Los derrames y fugas provenientes de lugares de almacenamiento, ductos y transporte motorizado pueden aumentar los niveles de toxicidad en los hábitats tanto terrestres como acuáticos. "
Producción de empaques de papel,Contaminantes atmosféricos no GEI,"Las fábricas de celulosa contribuyen a la contaminación del aire, el agua y la tierra. La celulosa y el papel se encuentran entre los mayores contaminantes industriales del aire, el agua y la tierra en algunos países, y la industria libera más de 100 millones de kg de contaminación tóxica cada año."
Producción de empaques de papel,Contaminantes del agua,"Las fábricas de celulosa contribuyen a la contaminación del aire, el agua y la tierra. La celulosa y el papel se encuentran entre los mayores contaminantes industriales del aire, el agua y la tierra en algunos países, y la industria libera más de 100 millones de kg de contaminación tóxica cada año."
Producción de empaques de papel,Contaminantes del suelo,"Las fábricas de celulosa contribuyen a la contaminación del aire, el agua y la tierra. La celulosa y el papel se encuentran entre los mayores contaminantes industriales del aire, el agua y la tierra en algunos países, y la industria libera más de 100 millones de kg de contaminación tóxica cada año."
Polimerización,Uso de agua,La producción de 1 libra de plástico requiere aproximadamente 22 galones de agua.
Polimerización,Uso de ecosistema terrestre,El uso de derivados de petróleo a altas temperaturas y presiones aumenta la probabilidad de que se produzca una explosión o incendio.
Polimerización,Contaminantes atmosféricos no GEI,"Los procesos de polimerización emiten contaminantes del aire nocivos, tales como: tricloroetanol, acetona, cloruro de metileno, butanona (metiletilcetona), estireno, tolueno y tricloroetano. "
Polimerización,Contaminantes del agua,"Se emplean exfoliantes caústicos acuosos diluidos en los procesos productivos, lo que significa que las aguas residuales se contaminan con productos químicos tóxicos y nocivos, tales como níquel, etilbenceno, óxido de etileno y benceno. "
Producción de alimentos y bebidas procesadas,Uso de agua,"La producción de alimentos y bebidas procesadas depende del agua de muchas maneras. Las gaseosas en particular dependen del agua como ingrediente base, lo que lleva a la extracción del agua; aunque esto representa solo el 1% del agua utilizada en toda la cadena de suministro de gaseosas."
Producción de alimentos y bebidas procesadas,Emisiones de GEI,"Se emiten volúmenes considerables de gases de efecto invernadero durante la producción y fabricación de gaseosas, incluida la producción de botellas. "
Producción de alimentos y bebidas procesadas,Contaminantes del agua,Las aguas residuales generadas por la producción de alimentos procesados y gaseosas pueden ocasionar elevados niveles de contaminación ambiental.
Producción de alimentos y bebidas procesadas,Residuos sólidos,"Los desechos sólidos resultantes de la producción de alimentos procesados y gaseosas (por ejemplo, envases de plástico) pueden ocasionar elevados niveles de contaminación ambiental. "
Elaboración de productos forestales y de madera,Uso de ecosistema terrestre,"La tala para plantaciones forestales puede causar una pérdida de biodiversidad a gran escala, alterar los hábitats y aumentar la degradación del suelo. La gestión o eliminación y sustitución forestal por especies exóticas puede privar a algunos animales de alimento y refugio, y puede atraer y albergar plagas. La tala y los restos de vegetación del suelo pueden aumentar el riesgo de incendios. La compactación, la exposición y los daños causados por las actividades forestales pueden alterar las características del suelo y los tipos de vegetación, haciéndolos más vulnerables a la erosión y los desprendimientos de tierra. "
Elaboración de productos forestales y de madera,Emisiones de GEI,"El uso de maquinaria pesada, la producción de carbón vegetal y el lixiviado de aserrín en los sitios incrementan las emisiones de gases de efecto invernadero. "
Elaboración de productos forestales y de madera,Contaminantes del agua,"El uso de maquinaria pesada, la producción de carbón vegetal y el lixiviado de aserrín en los sitios incrementan los niveles de contaminación del agua. "
Elaboración de productos de entretenimiento o personales,Uso de agua,Las plantas y procesos de fabricación usan agua en sus operaciones de producción. Se reconoce que el consumo de agua por la industria de productos personales contribuye directamente a una mayor extracción del agua.
Elaboración de productos de entretenimiento o personales,Emisiones de GEI,"Los procesos involucrados en la producción de productos de cuidado personal causan contaminación ambiental (por ejemplo, CO2 u otras emisiones de gas de efecto invernadero)."
Elaboración de productos de entretenimiento o personales,Contaminantes atmosféricos no GEI,"Los procesos de fabricación de productos de entretenimiento generan materiales residuales de producción (MARP) que incluyen emisiones gaseosas. Se pueden producir otras formas de contaminación como resultado del uso de ciertos materiales y sustancias tales como ácidos, solventes, gases comprimidos, soldaduras, pinturas, aceites y otros productos químicos. "
Elaboración de productos de entretenimiento o personales,Contaminantes del agua,"Los procesos de fabricación de productos de entretenimiento generan materiales residuales de producción (MARP) que incluyen líquidos. Se pueden producir otras formas de contaminación como resultado del uso de materiales y sustancias tales como ácidos, solventes, gases comprimidos, soldaduras, pinturas, aceites y otros productos químicos. La contaminación por microplásticos en particular es una creciente amenaza para los oceános del mundo. Las microesferas se usan frecuentemente en productos de cuidado personal tales como exfoliantes faciales y pastas dentales. Las sustancias químicas que se emplean en productos de maquillaje y otros cosméticos no se desintegran y persisten en las vías fluviales. "
Elaboración de productos de entretenimiento o personales,Contaminantes del suelo,"Se puede producir contaminación como resultado del uso de ciertos materiales y sustancias tales como ácidos, solventes, gases comprimidos, soldaduras, pinturas, aceites y otros productos químicos. "
Elaboración de productos de entretenimiento o personales,Residuos sólidos,"Los procesos de fabricación de productos de entretenimiento generan materiales residuales de producción (MARP) que incluyen materiales de desecho, algunos de los cuales se reutilizan o reciclan. "
Producción de productos de papel,Contaminantes atmosféricos no GEI,El impacto ambiental de la fabricación de celulosa y papel se debe principalmente a los procesos de celulosa de madera y de blanqueo de esta celulosa. Las principales fuentes de contaminación del aire incluyen los compuestos de sulfuro y los óxidos de nitrógeno.
Producción de productos de papel,Contaminantes del agua,"El impacto ambiental de la fabricación de celulosa y papel se debe principalmente a los procesos de celulosa de madera y de blanqueo de esta celulosa. Las principales fuentes de contaminación del agua incluyen los compuestos orgánicos y clorados blanqueados, y los nutrientes que se descargan en las aguas residuales. "
Provisión de centros de salud,Emisiones de GEI,Las emisiones de gas de efecto invernadero provenientes de los hospitales son sustanciales y aumentan la contaminación del aire. Estas emisiones pueden ser causadas por prácticas tales como la incineración de desechos peligrosos o contaminados.
Provisión de centros de salud,Contaminantes del agua,"Los desechos de productos (por ejemplo, productos químicos) pueden tener impactos ambientales significativos. "
Provisión de centros de salud,Contaminantes del suelo,"Los desechos de productos (por ejemplo, productos químicos) pueden tener impactos ambientales significativos."
Provisión de centros de salud,Residuos sólidos,"Los edificios de oficinas asociados con la prestación de servicios generan grandes volúmenes de desechos sólidos que incrementan los desechos sólidos municipales. Los tipos exactos de desechos sólidos que se generen variarán, pero pueden incluir materiales residuales de producción (MARP) tales como vidrio, metal, plástico, papel y cartón, madera, y caucho y cuero. "
Transporte ferroviario,Emisiones de GEI,"Las vías férreas pueden contaminar el aire. Las principales posibles emisiones contaminantes de gases de efecto invernadero incluyen: dióxido de carbono (CO2), hidrofluorocarbonos y otros gases de efecto invernadero indirectos."
Transporte ferroviario,Contaminantes atmosféricos no GEI,"Las vías férreas pueden contaminar el aire. Las principales posibles emisiones contaminantes no asociadas a gases de efecto invernadero incluyen: monóxido de carbono (CO), dióxido de sulfuro (SO2), óxidos de nitrógeno (NOx), hidrocarburos, partículas y compuestos orgánicos volátiles (COV)."
Transporte ferroviario,Contaminantes del agua,Los desechos y la basura pueden contaminar el agua.
Transporte ferroviario,Contaminantes del suelo,Los desechos y la basura pueden contaminar los suelos. Pueden producirse cambios en la química de los suelos como resultado de la mezcla de suelos debido a actividades de excavación y almacenamiento durante los procesos de construcción.
Transporte ferroviario,Perturbaciones,"El paso de trenes puede producir contaminación acústica; por ejemplo, se han reportado niveles de ruido generados por trenes equivalentes a 100 dB(A). Las perturbaciones causadas por las operaciones pueden dar lugar a la pérdida de poblaciones de especies silvestres en un área localizada."
Actividades inmobiliarias,Uso de ecosistema terrestre,"La construcción y el desarrollo de propiedades pueden dar lugar a la deforestación y degradación de hábitats, lo que conduce a la pérdida de biodiversidad y de capital natural en las obras de construcción y en las zonas adyacentes. El uso de vehículos y maquinaria pesada puede causar la compactación del suelo, lo que puede impedir el crecimiento de las raíces. La construcción puede provocar inundaciones, ya que las superficies duras reducen la capacidad de la tierra para absorber el agua de lluvia. "
Actividades inmobiliarias,Emisiones de GEI,El uso de maquinaria pesada genera emisiones de gas de efecto invernadero.
Actividades inmobiliarias,Contaminantes atmosféricos no GEI,"Los proyectos inmobiliarios pueden causar contaminación debido a la emisión de combustibles fósiles y los derrames de diésel, pinturas, solventes y productos químicos tóxicos. En algunas zonas del mundo, existen requisitos menos estrictos para la disposición de productos de desecho de construcción tóxicos, lo que ocasiona que se produzcan serios daños ambientales locales después de un proyecto de construcción. "
Actividades inmobiliarias,Contaminantes del agua,"Los proyectos inmobiliarios pueden causar contaminación debido a derrames de diésel, pinturas, solventes y productos químicos tóxicos. En algunas zonas del mundo, existen requisitos menos estrictos para la disposición de productos de desecho de construcción tóxicos, lo que ocasiona que se produzcan serios daños ambientales locales después de un proyecto de construcción. "
Actividades inmobiliarias,Contaminantes del suelo,"Los proyectos inmobiliarios pueden causar contaminación debido a derrames de diésel, pinturas, solventes y productos químicos tóxicos. En algunas zonas del mundo, existen requisitos menos estrictos para la disposición de productos de desecho de construcción tóxicos, lo que ocasiona que se produzcan serios daños ambientales locales después de un proyecto de construcción. "
Actividades inmobiliarias,Residuos sólidos,"Los procesos de produccción y fabricación de bienes inmuebles y los edificios de oficinas asociados con la prestación de servicios generan grandes volúmenes de desechos sólidos. Los tipos exactos de desechos sólidos que se generen variarán, pero pueden incluir materiales residuales de producción (MARP) tales como vidrio, metal, plástico, papel y cartón, madera, y caucho y cuero. "
Recuperación y separación de dióxido de carbono,Emisiones de GEI,"Este proceso de producción puede emitir hidrofluorocarbonos (por ejemplo, debido a la fuga de refrigerante)."
Recuperación y separación de dióxido de carbono,Contaminantes atmosféricos no GEI,La fuga de refrigerante puede producir emisiones de compuestos orgánicos volátiles (COV).
Recuperación y separación de dióxido de carbono,Contaminantes del agua,Los fluidos basados en petróleo que se emplean en máquinas de presión pueden escapar hacia cursos de agua.
Recuperación y separación de dióxido de carbono,Residuos sólidos,Se emplean metales dañinos como catalizadores y se pueden producir emisiones de estos si no se eliminan adecuadamente.
Recuperación y separación de dióxido de carbono,Perturbaciones,La operación de maquinaria produce contaminación acústica y vibraciones.
Provisión de restaurantes,Residuos sólidos,"Las oficinas y los centros de servicio, así como el no reciclaje de materiales, producen desechos."
Peces capturados en mar abierto,Uso de ecosistema marino,"Determinados tipos de aparejos de pesca pueden causar serios daños a los ambientes bénticos (fondo marino), lo que produce la degradación de hábitats e impactos asociados en las especies. "
Peces capturados en mar abierto,Uso de otros recursos,"Aproximadamente el 87% de la pesca en el medio silvestre se explota de manera insostenible (los peces son removidos a tasas más altas que las tasas de recuperación de las especies), lo que da lugar a una sobrepesca a nivel mundial. Poblaciones enteras de especies de peces pueden colapsar debido a la pesca en el medio silvestre, incluidas las especies no objetivo (a lo que se denomina pesca incidental)."
Peces capturados en mar abierto,Contaminantes del agua,El combustible usado por las embarcaciones pesqueras y buques contamina el ambiente marino.
Fabricación de equipo semiconductor,Uso de agua,"En la producción de semiconductores se utilizan grandes volúmenes de agua. Se informó que una instalación típica de producción de semiconductores utiliza más de 2 millones de galones de agua todos los días. Si bien el agua se recicla y reutiliza, se requiere un tratamiento químico extenso para su remediación."
Fabricación de equipo semiconductor,Emisiones de GEI,"Estos procesos producen emisiones, principalmente como resultado del uso de gases fluorados (gases F)."
Fabricación de equipo semiconductor,Contaminantes del agua,"Se utilizan productos químicos que pueden causar problemas ambientales, tales como el arsénico y los ácidos fuertes, para fabricar semiconductores. "
Fabricación de equipo semiconductor,Contaminantes del suelo,"Se utilizan productos químicos que pueden causar problemas ambientales, tales como el arsénico y los ácidos fuertes, para fabricar semiconductores. "
Silvicultura a pequeña escala,Uso de ecosistema terrestre,"La tala para plantaciones forestales puede causar una pérdida de biodiversidad a gran escala, alterar los hábitats y aumentar la degradación del suelo. La gestión o eliminación y sustitución forestal por especies exóticas puede privar a algunos animales de alimento y refugio, y puede atraer y albergar plagas. La tala y los restos de vegetación del suelo pueden aumentar el riesgo de incendios. La compactación, la exposición y los daños causados por las actividades forestales pueden alterar las características del suelo y los tipos de vegetación, haciéndolos más vulnerables a la erosión y los desprendimientos de tierra. "
Silvicultura a pequeña escala,Emisiones de GEI,"El uso de maquinaria pesada, la producción de carbón vegetal y el lixiviado del aserrín en los sitios incrementan las emisiones de gases de efecto invernadero. "
Silvicultura a pequeña escala,Contaminantes del agua,"El uso de maquinaria pesada, la producción de carbón vegetal y el lixiviado del aserrín en los sitios incrementan los niveles de contaminación del agua. "
Cultivos herbáceos irrigados a pequeña escala,Uso de agua,El riego de cultivos herbáceos genera una huella hídrica significativa que puede ser insostenible en muchas partes del mundo.
Cultivos herbáceos irrigados a pequeña escala,Uso de ecosistema terrestre,La expansión de cultivos herbáceos con riego ha causado una mayor modificación de los hábitats y la conversión de hábitats naturales en tierras de cultivo.
Cultivos herbáceos irrigados a pequeña escala,Uso de ecosistema de agua dulce,"La expansión de cultivos herbáceos irrigados ha causado una mayor modificación de los hábitats, en particular a través de la desecación (por ejemplo, de humedales) y la conversión de hábitats naturales en tierras de cultivo. La desecación de humedales para irrigación puede aumentar la propagación y asentamiento de especies invasoras. "
