Process,Ecosystem Service,RAG,Justification
"Ciencias de la vida, farmacia y manufactura de biotecnología",Agua subterránea,M,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo con una perturbación limitada (pero no total) del servicio ecosistémico"
"Herramientas y servicios en ciencias de la vida, farmacia y biotecnología",Agua superficial,H,El servicio ecosistémico es crítico e irremplazable en el proceso de producción 
"Herramientas y servicios en ciencias de la vida, farmacia y biotecnología",Dilución por la atmósfera y los ecosistemas,VL,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico "
"Herramientas y servicios en ciencias de la vida, farmacia y biotecnología",Agua subterránea,M,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo con una perturbación limitada (pero no total) del servicio ecosistémico"
Atención médica gestionada,Estabilización de masa y control de la erosión,VL,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico "
"Manufactura de maquinaria, repuestos y equipos",Protección contra inundaciones y tormentas,M,"A pesar de ser menos práctico, el proceso de producción puede tener lugar sin el servicio ecosistémico debido a la disponibilidad de sustitutos de protección"
"Manufactura de maquinaria, repuestos y equipos",Dilución por la atmósfera y los ecosistemas,L,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico "
"Manufactura de maquinaria, repuestos y equipos",Calidad del agua,L,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico "
"Manufactura de maquinaria, repuestos y equipos",Mediación de impactos sensoriales,M,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico "
"Manufactura de maquinaria, repuestos y equipos",Filtración,VL,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico "
"Manufactura de maquinaria, repuestos y equipos",Estabilización de masa y control de la erosión,VL,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico "
"Manufactura de maquinaria, repuestos y equipos",Ventilación,VL,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico "
"Manufactura de maquinaria, repuestos y equipos",Regulación climática,VL,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico "
"Manufactura de maquinaria, repuestos y equipos",Agua superficial,M,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo con una perturbación limitada (pero no total) del servicio ecosistémico"
"Manufactura de maquinaria, repuestos y equipos",Mantenimiento del flujo de agua,M,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo con una perturbación limitada (pero no total) del servicio ecosistémico"
"Manufactura de maquinaria, repuestos y equipos",Agua subterránea,M,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo con una perturbación limitada (pero no total) del servicio ecosistémico"
Manufactura de equipos semiconductores,Filtración,L,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico "
Puertos y servicios marítimos,Estabilización de masa y control de la erosión,M,"A pesar de ser menos práctico, el proceso de producción puede tener lugar sin el servicio ecosistémico debido a la disponibilidad de sustitutos de protección"
Puertos y servicios marítimos,Calidad del agua,L,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico "
Puertos y servicios marítimos,Mantenimiento del flujo de agua,M,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo con una perturbación limitada (pero no total) del servicio ecosistémico"
Puertos y servicios marítimos,Regulación climática,M,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo con una perturbación limitada (pero no total) del servicio ecosistémico"
Puertos y servicios marítimos,Protección contra inundaciones y tormentas,M,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo con una perturbación limitada (pero no total) del servicio ecosistémico debido a la resistencia del proceso de producción a las perturbaciones"
Puertos y servicios marítimos,Agua superficial,H,"El proceso de producción puede llevarse a cabo con cierta perturbación del servicio ecosistémico, pero la gran cantidad de servicios ecosistémicos necesarios para el proceso de producción hace que esto represente un alto riesgo"
Puertos y servicios marítimos,Agua subterránea,H,El proceso de producción es extremadamente vulnerable a las perturbaciones. El grado de protección que ofrece el servicio ecosistémico es crítico e irremplazable para el proceso de producción 
Transporte marítimo,Agua subterránea,M,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo con una perturbación limitada (pero no total) del servicio ecosistémico"
Transporte marítimo,Agua superficial,M,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo con una perturbación limitada (pero no total) del servicio ecosistémico"
Transporte marítimo,Calidad del agua,M,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo con una perturbación limitada (pero no total) del servicio ecosistémico"
Transporte marítimo,Protección contra inundaciones y tormentas,H,El proceso de producción es extremadamente vulnerable a las perturbaciones. El grado de protección que ofrece el servicio ecosistémico es crítico e irremplazable para el proceso de producción
Transporte marítimo,Regulación climática,VH,El proceso de producción es extremadamente vulnerable a las perturbaciones. El grado de protección que ofrece el servicio ecosistémico es crítico e irremplazable para el proceso de producción
Tecnología de membranas,Protección contra inundaciones y tormentas,M,"A pesar de ser menos práctico, el proceso de producción puede tener lugar sin el servicio ecosistémico debido a la disponibilidad de sustitutos de protección"
Tecnología de membranas,Agua subterránea,L,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico "
Tecnología de membranas,Agua superficial,L,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico "
Tecnología de membranas,Mediación de impactos sensoriales,L,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico "
Tecnología de membranas,Mantenimiento del flujo de agua,L,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico "
Tecnología de membranas,Calidad del agua,L,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico "
Tecnología de membranas,Filtración,VL,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico "
Tecnología de membranas,Biorremediación,VL,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico "
Tecnología de membranas,Dilución por la atmósfera y los ecosistemas,VL,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico "
Tecnología de membranas,Ventilación,VL,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico "
Tecnología de membranas,Regulación climática,VL,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico "
Tecnología de membranas,Estabilización de masa y control de la erosión,L,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico debido a la resistencia del proceso de producción a las perturbaciones"
Procesamiento de metales,Protección contra inundaciones y tormentas,M,"A pesar de ser menos práctico, el proceso de producción puede tener lugar sin el servicio ecosistémico debido a la disponibilidad de sustitutos de protección"
Procesamiento de metales,Agua subterránea,M,"A pesar de ser menos práctico, el proceso de producción puede tener lugar sin el servicio ecosistémico debido a la disponibilidad de sustitutos"
Procesamiento de metales,Agua superficial,M,"A pesar de ser menos práctico, el proceso de producción puede tener lugar sin el servicio ecosistémico debido a la disponibilidad de sustitutos"
Procesamiento de metales,Mantenimiento del flujo de agua,M,"A pesar de ser menos práctico, el proceso de producción puede tener lugar sin el servicio ecosistémico debido a la disponibilidad de sustitutos"
Procesamiento de metales,Filtración,L,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico "
Procesamiento de metales,Biorremediación,L,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico "
Procesamiento de metales,Dilución por la atmósfera y los ecosistemas,L,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico "
Procesamiento de metales,Mediación de impactos sensoriales,L,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico "
Procesamiento de metales,Calidad del agua,L,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico "
Procesamiento de metales,Estabilización de masa y control de la erosión,VL,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico "
Procesamiento de metales,Ventilación,VL,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico "
Procesamiento de metales,Regulación climática,VL,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico "
Minería,Estabilización de masa y control de la erosión,M,"A pesar de ser menos práctico, el proceso de producción puede tener lugar sin el servicio ecosistémico debido a la disponibilidad de sustitutos de protección"
Minería,Agua superficial,H,El servicio ecosistémico es crítico e irremplazable en el proceso de producción
Minería,Mantenimiento del flujo de agua,H,El servicio ecosistémico es crítico e irremplazable en el proceso de producción
Minería,Agua subterránea,H,El servicio ecosistémico es crítico e irremplazable en el proceso de producción 
Minería,Regulación climática,H,El proceso de producción es extremadamente vulnerable a las perturbaciones. El grado de protección que ofrece el servicio ecosistémico es crítico e irremplazable para el proceso de producción 
Producción de fibras naturales,Protección contra inundaciones y tormentas,M,"A pesar de ser menos práctico, el proceso de producción puede tener lugar sin el servicio ecosistémico debido a la disponibilidad de sustitutos de protección"
Producción de fibras naturales,Filtración,L,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico "
Producción de fibras naturales,Biorremediación,L,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico "
Producción de fibras naturales,Dilución por la atmósfera y los ecosistemas,L,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico "
Producción de fibras naturales,Calidad del agua,L,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico "
Producción de fibras naturales,Estabilización de masa y control de la erosión,L,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico debido a la resistencia del proceso de producción a las perturbaciones"
Producción de fibras naturales,Mantenimiento del flujo de agua,M,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo con una perturbación limitada (pero no total) del servicio ecosistémico"
Producción de fibras naturales,Fibras y otros materiales,M,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo con una perturbación limitada (pero no total) del servicio ecosistémico.  A pesar de ser menos práctico, el proceso de producción puede tener lugar sin el servicio ecosistémico debido a la disponibilidad de sustitutos"
Producción de fibras naturales,Agua subterránea,VH,El proceso de producción es extremadamente vulnerable a las perturbaciones. El grado de protección que ofrece el servicio ecosistémico es crítico e irremplazable para el proceso de producción
Producción de fibras naturales,Agua superficial,VH,El proceso de producción es extremadamente vulnerable a las perturbaciones. El grado de protección que ofrece el servicio ecosistémico es crítico e irremplazable para el proceso de producción
Combustión de gas natural,Protección contra inundaciones y tormentas,M,"A pesar de ser menos práctico, el proceso de producción puede tener lugar sin el servicio ecosistémico debido a la disponibilidad de sustitutos de protección"
Combustión de gas natural,Agua subterránea,M,"A pesar de ser menos práctico, el proceso de producción puede tener lugar sin el servicio ecosistémico debido a la disponibilidad de sustitutos"
Combustión de gas natural,Filtración,L,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico "
Combustión de gas natural,Biorremediación,L,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico "
Combustión de gas natural,Dilución por la atmósfera y los ecosistemas,L,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico "
Combustión de gas natural,Mediación de impactos sensoriales,L,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico "
Combustión de gas natural,Calidad del agua,L,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico "
Combustión de gas natural,Ventilación,VL,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico "
Combustión de gas natural,Regulación climática,VL,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico "
Combustión de gas natural,Estabilización de masa y control de la erosión,L,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico debido a la resistencia del proceso de producción a las perturbaciones"
Combustión de gas natural,Mantenimiento del flujo de agua,M,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo con una perturbación limitada (pero no total) del servicio ecosistémico"
Combustión de gas natural,Agua superficial,M,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo con una perturbación limitada (pero no total) del servicio ecosistémico"
Centrales nucleares y térmicas,Protección contra inundaciones y tormentas,M,"A pesar de ser menos práctico, el proceso de producción puede tener lugar sin el servicio ecosistémico debido a la disponibilidad de sustitutos de protección"
Centrales nucleares y térmicas,Filtración,L,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico "
Centrales nucleares y térmicas,Calidad del agua,L,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico "
Centrales nucleares y térmicas,Biorremediación,VL,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico "
Centrales nucleares y térmicas,Regulación climática,VL,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico "
Centrales nucleares y térmicas,Estabilización de masa y control de la erosión,L,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico debido a la resistencia del proceso de producción a las perturbaciones"
Centrales nucleares y térmicas,Agua subterránea,M,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo con una perturbación limitada (pero no total) del servicio ecosistémico"
Centrales nucleares y térmicas,Mantenimiento del flujo de agua,M,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo con una perturbación limitada (pero no total) del servicio ecosistémico"
Centrales nucleares y térmicas,Agua superficial,VH,El proceso de producción es extremadamente vulnerable a las perturbaciones. El grado de protección que ofrece el servicio ecosistémico es crítico e irremplazable para el proceso de producción
Perforación de petróleo y gas,Estabilización de masa y control de la erosión,L,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico "
Perforación de petróleo y gas,Agua subterránea,VL,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico"
Perforación de petróleo y gas,Agua superficial,VL,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico"
Perforación de petróleo y gas,Filtración,VL,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico "
Perforación de petróleo y gas,Biorremediación,VL,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico "
Perforación de petróleo y gas,Protección contra inundaciones y tormentas,VL,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico "
Perforación de petróleo y gas,Regulación climática,VL,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico "
Estudios de exploración de petróleo y gas,Estabilización de masa y control de la erosión,L,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico "
Estudios de exploración de petróleo y gas,Protección contra inundaciones y tormentas,VL,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico "
Estudios de exploración de petróleo y gas,Regulación climática,M,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo con una perturbación limitada (pero no total) del servicio ecosistémico"
Refinado de petróleo y gas,Protección contra inundaciones y tormentas,M,"A pesar de ser menos práctico, el proceso de producción puede tener lugar sin el servicio ecosistémico debido a la disponibilidad de sustitutos de protección"
Refinado de petróleo y gas,Agua subterránea,L,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico"
Refinado de petróleo y gas,Agua superficial,L,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico"
Refinado de petróleo y gas,Estabilización de masa y control de la erosión,L,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico"
Refinado de petróleo y gas,Calidad del agua,L,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico "
Refinado de petróleo y gas,Filtración,VL,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico"
Refinado de petróleo y gas,Biorremediación,VL,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico "
Refinado de petróleo y gas,Regulación climática,VL,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico "
Servicios de petróleo y gas,Regulación climática,L,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico "
Almacenamiento de petróleo y gas,Protección contra inundaciones y tormentas,M,"A pesar de ser menos práctico, el proceso de producción puede tener lugar sin el servicio ecosistémico debido a la disponibilidad de sustitutos de protección"
Almacenamiento de petróleo y gas,Estabilización de masa y control de la erosión,L,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico "
Almacenamiento de petróleo y gas,Regulación climática,VL,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico "
Transporte de petróleo y gas,Protección contra inundaciones y tormentas,M,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo con una perturbación limitada (pero no total) del servicio ecosistémico debido a la resistencia del proceso de producción a las perturbaciones"
Transporte de petróleo y gas,Regulación climática,M,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo con una perturbación limitada (pero no total) del servicio ecosistémico debido a la resistencia del proceso de producción a las perturbaciones"
Transporte de petróleo y gas,Estabilización de masa y control de la erosión,H,El proceso de producción es extremadamente vulnerable a las perturbaciones 
Producción de embalajes de papel,Biorremediación,L,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico "
Producción de embalajes de papel,Dilución por la atmósfera y los ecosistemas,L,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico"
Polimerización,Agua subterránea,L,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico "
Polimerización,Agua superficial,L,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico "
Polimerización,Mediación de impactos sensoriales,L,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico"
Polimerización,Estabilización de masa y control de la erosión,L,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico debido a la resistencia del proceso de producción a las perturbaciones"
Producción de alimentos y bebidas procesados,Protección contra inundaciones y tormentas,M,"A pesar de ser menos práctico, el proceso de producción puede tener lugar sin el servicio ecosistémico debido a la disponibilidad de sustitutos de protección"
Producción de alimentos y bebidas procesados,Filtración,L,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico "
Producción de alimentos y bebidas procesados,Biorremediación,L,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico "
Producción de alimentos y bebidas procesados,Dilución por la atmósfera y los ecosistemas,L,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico "
Producción de alimentos y bebidas procesados,Calidad del suelo,VL,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico "
Producción de alimentos y bebidas procesados,Estabilización de masa y control de la erosión,L,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico debido a la resistencia del proceso de producción a las perturbaciones"
Producción de alimentos y bebidas procesados,Mantenimiento del flujo de agua,M,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo con una perturbación limitada (pero no total) del servicio ecosistémico"
Producción de alimentos y bebidas procesados,Calidad del agua,M,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo con una perturbación limitada (pero no total) del servicio ecosistémico"
Producción de alimentos y bebidas procesados,Agua subterránea,VH,El proceso de producción es extremadamente vulnerable a las perturbaciones. El grado de protección que ofrece el servicio ecosistémico es crítico e irremplazable para el proceso de producción
Producción de alimentos y bebidas procesados,Agua superficial,VH,El proceso de producción es extremadamente vulnerable a las perturbaciones. El grado de protección que ofrece el servicio ecosistémico es crítico e irremplazable para el proceso de producción
Producción de productos forestales y derivados de la madera,Protección contra inundaciones y tormentas,M,"A pesar de ser menos práctico, el proceso de producción puede tener lugar sin el servicio ecosistémico debido a la disponibilidad de sustitutos de protección"
Producción de productos forestales y derivados de la madera,Estabilización de masa y control de la erosión,L,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico debido a la resistencia del proceso de producción a las perturbaciones"
Producción de productos forestales y derivados de la madera,Mantenimiento del flujo de agua,M,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo con una perturbación limitada (pero no total) del servicio ecosistémico"
Producción de productos forestales y derivados de la madera,Agua subterránea,H,El proceso de producción es extremadamente vulnerable a las perturbaciones. El grado de protección que ofrece el servicio ecosistémico es crítico e irremplazable para el proceso de producción 
Producción de productos forestales y derivados de la madera,Agua superficial,VH,El proceso de producción es extremadamente vulnerable a las perturbaciones. El grado de protección que ofrece el servicio ecosistémico es crítico e irremplazable para el proceso de producción
Producción de productos de recreación o personales,Dilución por la atmósfera y los ecosistemas,L,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico "
Producción de productos de recreación o personales,Agua subterránea,H,El proceso de producción es extremadamente vulnerable a las perturbaciones. El grado de protección que ofrece el servicio ecosistémico es crítico e irremplazable para el proceso de producción 
Producción de productos de recreación o personales,Agua superficial,H,El proceso de producción es extremadamente vulnerable a las perturbaciones. El grado de protección que ofrece el servicio ecosistémico es crítico e irremplazable para el proceso de producción 
Producción de productos de recreación o personales,Fibras y otros materiales,M,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo con una perturbación limitada (pero no total) del servicio ecosistémico"
Producción de productos de papel,Regulación climática,VL,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico "
Producción de productos de papel,Mantenimiento del flujo de agua,M,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo con una perturbación limitada (pero no total) del servicio ecosistémico"
Producción de productos de papel,Fibras y otros materiales,M,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo con una perturbación limitada (pero no total) del servicio ecosistémico"
Producción de productos de papel,Agua subterránea,VH,El proceso de producción es extremadamente vulnerable a las perturbaciones. El grado de protección que ofrece el servicio ecosistémico es crítico e irremplazable para el proceso de producción
Producción de productos de papel,Agua superficial,VH,El proceso de producción es extremadamente vulnerable a las perturbaciones. El grado de protección que ofrece el servicio ecosistémico es crítico e irremplazable para el proceso de producción
Prestación de servicios de salud,Agua subterránea,M,"A pesar de ser menos práctico, el proceso de producción puede tener lugar sin el servicio ecosistémico debido a la disponibilidad de sustitutos"
Prestación de servicios de salud,Estabilización de masa y control de la erosión,L,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico debido a la resistencia del proceso de producción a las perturbaciones"
Prestación de servicios de salud,Agua superficial,M,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo con una perturbación limitada (pero no total) del servicio ecosistémico"
Transporte ferroviario,Regulación climática,M,"A pesar de ser menos práctico, el proceso de producción puede tener lugar sin el servicio ecosistémico debido a la disponibilidad de sustitutos de protección"
Transporte ferroviario,Ventilación,VL,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico "
Transporte ferroviario,Control de plagas,VL,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico "
Transporte ferroviario,Agua subterránea,M,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo con una perturbación limitada (pero no total) del servicio ecosistémico"
Transporte ferroviario,Agua superficial,M,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo con una perturbación limitada (pero no total) del servicio ecosistémico"
Transporte ferroviario,Protección contra inundaciones y tormentas,M,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo con una perturbación limitada (pero no total) del servicio ecosistémico debido a la resistencia del proceso de producción a las perturbaciones"
Transporte ferroviario,Estabilización de masa y control de la erosión,H,El proceso de producción es extremadamente vulnerable a las perturbaciones. El grado de protección que ofrece el servicio ecosistémico es crítico e irremplazable para el proceso de producción 
Actividades inmobiliarias,Biorremediación,L,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico "
Actividades inmobiliarias,Mediación de impactos sensoriales,L,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico"
Actividades inmobiliarias,Filtración,VL,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico"
Actividades inmobiliarias,Protección contra inundaciones y tormentas,VL,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico"
Actividades inmobiliarias,Estabilización de masa y control de la erosión,L,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico debido a la resistencia del proceso de producción a las perturbaciones"
Actividades inmobiliarias,Agua superficial,H,"El proceso de producción puede llevarse a cabo con cierta perturbación del servicio ecosistémico, pero la gran cantidad de servicios ecosistémicos necesarios para el proceso de producción hace que esto represente un alto riesgo"
Actividades inmobiliarias,Agua subterránea,M,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo con una perturbación limitada (pero no total) del servicio ecosistémico"
Recuperación y separación de dióxido de carbono,Protección contra inundaciones y tormentas,M,"A pesar de ser menos práctico, el proceso de producción puede tener lugar sin el servicio ecosistémico debido a la disponibilidad de sustitutos de protección"
Recuperación y separación de dióxido de carbono,Agua subterránea,L,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico"
Recuperación y separación de dióxido de carbono,Agua superficial,L,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico"
Recuperación y separación de dióxido de carbono,Mediación de impactos sensoriales,L,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico"
Recuperación y separación de dióxido de carbono,Mantenimiento del flujo de agua,L,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico"
Recuperación y separación de dióxido de carbono,Calidad del agua,L,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico"
