Ecosystem service,Asset,Driver,Influence,Justification,Likely Response,Effect on Variability,Human action or natural variation,Timescale,Spatial Characteristics
Agua subterránea ,Agua,Aumento del nivel del mar,A,Los aumentos del nivel del mar causan intrusión del agua de mar (o intrusión de agua salada) ? que es la invasión de agua salina en regiones de agua subterránea fresca en entornos de acuíferos costeros. Estas intrusiones pueden tener un efecto  perjudicial en el aprovisionamiento de agua.,Contaminación de acuíferos costeros con agua salada.,Menor calidad de agua subterránea. Mayor salinidad podría afectar si puede usarse o no agua subterránea para determinados procesos industriales o agrícolas.,Acción humana,Largo plazo,Local
Agua subterránea ,Agua,Extracción del agua,R,"La extracción de aguas reduce la cantidad de agua disponible para dar soporte a otros servicios ecosistémicos. Situaciones de desequilibrio entre la demanda y la disponibilidad de agua con frecuencia suceden en áreas con densidades poblacionales altas, combinado con baja precipitación, lo que origina el agotamiento de cursos de agua, e intrusión de agua salada en acuíferos. Se espera que estos impactos empeoren en el largo plazo, a medida que la demanda siga aumentando.",Agotamiento de agua subterránea contenida en acuíferos. El agua subterránea en algunas áreas se está utilizando en tasas que exceden la tasa en que los procesos naturales pueden reabastecer reservas. El agua subterránea representa 18% del agua utilizada para fines agrícolas y 13% de dicha cantidad se utiliza para la producción de energía y fines industriales.,Menor suministro de agua subterránea. La extracción de aguas insostenible de acuíferos para uso humano está llevando a escaseces drásticas de agua.,Acción humana,Mediano plazo ,Local
Agua subterránea ,Agua,Condiciones climáticas,R,"Las condiciones climáticas pueden afectar al agua en un sinnúmero de formas diferentes. Las variaciones en los patrones de lluvia causarán cambios de calidad de agua que impactarán la producción de agua potable y salud humana. Las  temperaturas crecientes pueden aumentar la evaporación, lo que reduce la cantidad de agua en una determinada ubicación.",La contaminación resultante del cambio climático antropogénico aumenta en precipitación. Contaminación de acuíferos y menor calidad de agua subterránea.,"Menor calidad de agua subterránea como resultado de mayor blanqueo de contaminantes (por ejemplo, nitratos) contenidos en agua de lluvia.",Acción humana,Mediano plazo ,Local
Agua subterránea ,Agua,Condiciones climáticas,R,"Las condiciones climáticas pueden afectar al agua en un sinnúmero de formas diferentes. Las variaciones en los patrones de lluvia causarán cambios de calidad de agua que impactarán la producción de agua potable y salud humana. Las  temperaturas crecientes pueden aumentar la evaporación, lo que reduce la cantidad de agua en una determinada ubicación.",Aumento o disminución de agua disponible en fuentes de agua subterránea.,"Variación estacional o anual (es decir, aumento o disminución) en el suministro de agua subterránea a las masas que dependen de ello (por ejemplo, ríos,  lagos, humedales).",Variación natural ,Corto plazo,Global
Mantenimiento de hábitats de criadero,Hábitats,Modificación del hábitat ,R,"La modificación de hábitats impacta directamente a los hábitats: altera los paisajes y comunidades mediante la reducción de los tamaños de las poblaciones y fragmenta los rangos mediante la imposición de barreras físicas o biológicas a la dispersión. Sin embargo, los hábitats varían en resiliencia, por lo que los impactos difieren.",Desvío de agua dulce de áreas estuarinas,"La pérdida de hábitats lleva a la interrupción de la conectividad entre los hábitats de las etapas de desove, criadero y adulto.",Acción humana,Corto-mediano plazo ,Local-regional
Mantenimiento de hábitats de criadero,Especies,Modificación del hábitat ,R,"La degradación de la calidad o cantidad de hábitats puede reducir el tamaño de las poblaciones y las tasas de crecimiento, y aumentar el cambio de los eventos de extinción locales.",Desvío de agua dulce de áreas estuarinas.,"La pérdida de hábitats lleva a la interrupción de la conectividad entre los hábitats de las etapas de desove, criadero y adulto.",Acción humana,Corto-mediano plazo ,Local-regional
Mantenimiento de hábitats de criadero,Agua,Modificación del hábitat ,R,La modificación de hábitats cambia el uso y la distribución del agua. Las presiones crecientes del desarrollo económico verán más cambios en los hábitats en el largo plazo.,Desvío de agua dulce de áreas estuarinas.,"La pérdida de hábitats lleva a la interrupción de la conectividad entre los hábitats de las etapas de desove, criadero y adulto.",Acción humana,Corto-mediano plazo ,Local-regional
Mantenimiento de hábitats de criadero,Hábitats,Actividades industriales o domésticas ,A,"Al igual que con los impactos de construcción, se anticipa que la cantidad y calidad de hábitats disminuirán en el largo plazo, como resultado de las presiones del desarrollo económico. Los mecanismos mediante los cuales las actividades industriales o domésticas impulsan el cambio en los hábitats son, con frecuencia, complejos y existe cierta incertidumbre. Algunos hábitats son más resilientes a impactos que otros, por lo tanto, hay una variabilidad en las respuestas. ","Los cambios de la calidad de agua, profundidad, turbidez, salinidad y nutrientes llevarán a cambios en la estructura y salud de la comunidad vegetal y las reducciones o desaparición de comunidades bióticas, así como la salud y complejidad de hábitats.","La pérdida de hábitats lleva a la interrupción de la conectividad entre los hábitats de las etapas de desove, criadero y adulto. Desplazamiento o extinción local de poblaciones adultas, lo que interrumpe los patrones de desove. La sedimentación debido a la actividad de transporte reduce la penetración de luz, éxito de asentamiento, supervivencia y diversidad de hábitats, tales como el coral.",Acción humana,Corto plazo,Local
Mantenimiento de hábitats de criadero,Agua,Actividades industriales o domésticas,R,"La demanda de agua para actividades industriales o domésticas aumentará como resultado de las constantes presiones de desarrollo, salvo que los activos hídricos sean gestionados correctamente, lo que reducirá la cantidad de agua disponible para suministrar o apoyar otros servicios ecosistémicos. Se espera también que las actividades industriales o domésticas aumenten con el tiempo como respuesta al desarrollo económico y al crecimiento poblacional ? estas actividades seguirán teniendo un impacto en el agua.","Los cambios de la calidad de agua, profundidad, turbidez, salinidad y nutrientes llevarán a cambios en la estructura y salud de la comunidad vegetal y las reducciones o desaparición de comunidades bióticas, así como la salud y complejidad de hábitats.","La pérdida de hábitats lleva a la interrupción de la conectividad entre los hábitats de las etapas de desove, criadero y adulto. Desplazamiento o extinción local de poblaciones adultas, lo que interrumpe los patrones de desove. La sedimentación debido a la actividad de transporte reduce la penetración de luz, éxito de asentamiento, supervivencia y diversidad de hábitats, tales como el arrecifes de coral.",Acción humana,Corto plazo,Local
Mantenimiento de hábitats de criadero,Especies,Agricultura y acuicultura intensivas,R,"Las actividades agrícolas, tales como labranza, drenaje, cultivo intercalado, rotación, pastoreo y uso extensivo de plaguicidas y fertilizantes tienen implicancias significativas para las especies silvestres. La acuicultura tiene algunos impactos positivos en la biodiversidad ? puede reducir la presión en las poblaciones silvestres sobreexplotadas y aumentar poblaciones mermadas, así como impulsar la producción natural y diversidad de las especies. Sin embargo, las especies que escapan de la acuicultura pueden volverse invasoras en áreas donde no son nativas; los efluentes de acuicultura pueden causar eutrofización; el suelo ecológicamente sensible puede convertirse para uso de acuicultura; las especies de acuicultura pueden consumir harina de pescado escasa; y la acuicultura puede transmitir enfermedades a peces silvestres. Generalmente se espera que las especies empeoren en el corto plazo.",La superfertilización y fertilización de nutrientes llevan al sobrecrecimiento de algas y la pérdida en cobertura y diversidad de hábitats.,"La pérdida de hábitats lleva a la interrupción de la conectividad entre los hábitats de las etapas de desove, criadero y adulto.",Acción humana,Corto-mediano plazo ,Local-regional
Mantenimiento de hábitats de criadero,Agua,Agricultura y acuicultura intensivas,R,"La agricultura intensiva es una fuente importante de contaminación de agua. La intensificación agrícola libera nutrientes (a través de la gestión del suelo y fertilizantes) y otros químicos (por ejemplo, plaguicidas) en cursos de agua, a través de contaminación biológica (por ejemplo, de la bacteria en estiércol) y a través de escorrentía del suelo. La acuicultura puede tener un impacto sobre masas de agua, a través de desechos, excesos de alimento y residuos de alimentos. Mientras que la mayoría de prácticas de acuicultura ha tenido pocos efectos adversos en ecosistemas, hay algunos ejemplos de degradación ambiental debido a operaciones intensivas de cultivo en jaulas y algunas prácticas de cultivo de camarón. Se anticipa que esta tendencia hacia la agricultura y acuicultura intensiva empeore en el largo plazo, debido a presiones de alimentos relacionadas con una población creciente.",La superfertilización y fertilización de nutrientes llevan al sobrecrecimiento de algas y la pérdida en cobertura y diversidad de hábitats.,"La pérdida de hábitats lleva a la interrupción de la conectividad entre los hábitats de las etapas de desove, criadero y adulto.",Acción humana,Corto-mediano plazo,Local-regional
Mantenimiento de hábitats de criadero,Especies,Especies invasoras ,A,"Las especies invasoras pueden desplazar a las especies indígenas, restructurando comunidades y causando cambios evolutivos. Las especies invasoras pueden, sin embargo, favorecer también a las especies nativas a través de la modificación de hábitats (al actuar como ingenieros de hábitats), la polinización, la liberación de competidores y la liberación de depredadores.",Desplazamiento o extinción local de comunidades bióticas.,"Especies exóticas que alteran la ecología del sistema, por ejemplo, desplazando a especies relevantes para mantener los servicios.",Acción humana,Corto-mediano plazo ,Local
Mantenimiento de hábitats de criadero,Agua,Especies invasoras ,R,"La calidad y cantidad de agua están afectadas por la flora y fauna que viven en hábitats acuáticos o cerca de ellos ? y las especies invasoras competitivas introducidas en los sistemas de agua pueden afectar las interacciones, lo que resulta en disminuciones de las especies nativas y degradación de la calidad de agua. Los incrementos de movimiento humano y el transporte de mercadería verán aumentos en los brotes de especies invasoras.",Desplazamiento o extinción local de comunidades bióticas.,"Especies exóticas que alteran la ecología del sistema, por ejemplo, desplazando a especies relevantes para mantener los servicios.",Acción humana,Corto-mediano plazo ,Local
Mantenimiento de hábitats de criadero,Hábitats,Acidificación de los océanos ,R,La acidificación hace que los océanos sean menos adecuados como hábitats para muchas de las especies que habitan en ellos. Afecta notable y negativamente el crecimiento de corales y demás especies con exoesqueletos basados en carbonato cálcico. Se pronostica que los niveles globales de pH oceánico serán 170% más ácidos en 2100.,"Afecta la salud de ecosistemas, altera a las corrientes oceánicas y cambia a las comunidades bióticas.","El calentamiento y la acidificación de los océanos crean estrés térmico (por ejemplo, blanqueo de coral), aumento del nivel del mar, y sedimentación. Corrientes oceánicas alteradas provocan cambios en la conectividad y regímenes de temperatura. La acidificación de los océanos lleva a una reducción de los niveles de pH y disminuye las tasas de crecimiento.",Acción humana o variación natural ,Corto-largo plazo,Local-regional-global
Mantenimiento de hábitats de criadero,Especies,Acidificación de los océanos  ,R,"La acidificación de los océanos daña el crecimiento de muchas especies marinas, tales como corales y plancton. Esto reduce enormemente las principales fuentes de alimentos en el mundo marino que causa impactos devastadores en especies marinas y especies marino dependientes. Las mediciones y modelos indican que el pronóstico de los niveles globales de pH oceánico serán 170% más ácidos en 2100. En consecuencia, todas las especies marinas serán impactadas negativamente en los próximos 100 años bajo las tendencias actuales de acidificación.","Afecta la salud de ecosistemas, altera a las corrientes oceánicas y cambia a las comunidades bióticas.","El calentamiento y la acidificación de los océanos crean estrés térmico (por ejemplo, blanqueo de coral), aumento del nivel del mar, sedimentación. Corrientes oceánicas alteradas provocan cambios en la conectividad y regímenes de temperatura. La acidificación de los océanos lleva a una reducción de los niveles de pH y disminuye las tasas de crecimiento.",Acción humana o variación natural ,Corto-largo plazo,Local-regional-global
Mantenimiento de hábitats de criadero,Agua,Acidificación de los océanos ,R,La acidificación de los océanos  cambia directamente la calidad de agua en los océanos y su capacidad para apoyar una serie de servicios ecosistémicos.,"Afecta la salud de ecosistemas, altera a las corrientes oceánicas y cambia a  las comunidades bióticas.","El calentamiento y la acidificación de los océanos crean estrés térmico (por ejemplo, blanqueo de coral), aumento del nivel del mar, sedimentación. Corrientes oceánicas alteradas provocan cambios en la conectividad y regímenes de temperatura. La acidificación de los océanos  lleva a una reducción de los niveles de pH y disminuye las tasas de crecimiento.",Acción humana o variación natural ,Corto-largo plazo,Local-regional-global
Mantenimiento de hábitats de criadero,Hábitats,Corriente y circulación oceánicas,R,"Es probable que los hábitats exhiban una respuesta negativa a corrientes y circulación oceánicas cambiantes. Debido a los efectos del cambio climático, se ha observado que el hielo marino está adelgazando rápidamente y disminuyendo en el área, lo que reduce los hábitats árticos y antárticos. Un efecto secundario de ello es la reintroducción de aguas menos salinas y más frías en océanos principales, lo que afecta a las corrientes que, a su vez, alteran a los reguladores climáticos atmosféricos, tales como la corriente del Golfo, y que potencialmente causan cambios significativos en los patrones climáticos e impactan negativamente en los hábitats globales.","Afecta la salud de ecosistemas, altera a las corrientes oceánicas y cambia a las comunidades bióticas.","El calentamiento y la acidificación de los océanos crean estrés térmico (por ejemplo, blanqueo de coral), aumento del nivel del mar, y sedimentación., Corrientes oceánicas alteradas provocan cambios en la conectividad y regímenes de temperatura. La acidificación de los océanos lleva a una reducción de los niveles de pH y disminuye las tasas de crecimiento.",Acción humana o variación natural ,Corto-largo plazo,Local-regional-global
Mantenimiento de hábitats de criadero,Agua,Corriente y circulación oceánicas,V,"Las corrientes y circulación oceánicas afectan a los recursos hídricos provistos por los océanos. La salinidad y la temperatura determinan la densidad del agua oceánica, y la densidad influye en la circulación. El impacto de corrientes oceánicas en los activos hídricos es relativamente menor y variará por ubicación. Se prevé que el crecimiento poblacional y los impactos del cambio climático producirán un mayor impacto en los activos hídricos. El impacto de corrientes oceánicas en los activos hídricos es relativamente menor y variará por ubicación. Hay una baja incertidumbre en esta relación.","Afecta la salud de ecosistemas, altera a las corrientes oceánicas y cambia a las comunidades bióticas.","El calentamiento y la acidificación de los océanos crean estrés térmico (por ejemplo, blanqueo de coral), aumento del nivel del mar, y sedimentación. Corrientes oceánicas alteradas provocan cambios en la conectividad y regímenes de temperatura. La acidificación de los océanos  lleva a una reducción de los niveles de pH y disminuye las tasas de crecimiento.",Acción humana o variación natural ,Corto-largo plazo,Local-regional-global
Mantenimiento de hábitats de criadero,Especies,Sobrepesca ,A,"La sobrepesca tiene efectos directos e indirectos en la diversidad, estructura y productividad de las comunidades acuáticas. Algunas especies pueden ser más resilientes a la sobrepesca que otras, y esto depende del tamaño de la especie, la intensidad de la pesca, la estrategia de los ciclos biológicos, el tamaño de hábitat y la ubicación. La sobreexplotación también puede tener efectos imprevistos sobre la biodiversidad mediante las interacciones complejas entre las especies en un ecosistema ? tanto positivos como negativos.",Destrucción y alteración física del hábitat.,"La pérdida de hábitats lleva a la interrupción de conectividad entre los hábitats de las etapas de desove, criadero y adulto. La dinamita destruye y mata hábitats/ organismos. Las dragas hidráulicas dañan la fauna y matan a los animales por calor. El arrastre de fondo crea turbidez, que mata larvas, elimina coral y destruye criaderos.",Acción humana,Corto-mediano plazo,Local-regional
Mantenimiento de hábitats de criadero,Hábitats,Contaminación,A,"La contaminación puede causar cambios físicos y químicos en los hábitats, que reduce la capacidad de aprovisionamiento y, en consecuencia, impacta a las especies. Los hábitats tienen la capacidad de recuperarse de los impactos de la contaminación si no están tan sobrecargados con contaminantes irreversibles, siendo importantes tanto el tipo de contaminación como el nivel de carga. Algunos hábitats son más resilientes a los efectos de la contaminación ? la relación normalmente está determinada por el contexto y depende del hábitat, pero también del tipo de contaminante.",Pérdida de hábitat debido a la superfertilización y contaminación con tóxicos. ,Pérdida de hábitat debido a la opacidad de aguas costeras por sedimentos de escorrentías y tóxicos que llevan a la contaminación.,Acción humana,Corto-mediano plazo ,Local-regional
Mantenimiento de hábitats de criadero,Especies,Contaminación ,A,"La contaminación es perjudicial para la salud de las especies. La deposición atmosférica de nitrógeno reactivo, por ejemplo, tiene el potencial de reducir la abundancia de especies vegetales, al favorecer especies mejor adaptadas a niveles altos de nutrientes. Los impactos sobre la contaminación en las especies varían por ubicación y otros parámetros externos.",Pérdida de hábitat debido a la superfertilización y contaminación con tóxicos,Pérdida de hábitat debido a la opacidad de aguas costeras por sedimentos de escorrentías y tóxicos que llevan a la contaminación.,Acción humana,Corto-mediano plazo ,Local-regional
Mantenimiento de hábitats de criadero,Agua,Contaminación,R,"La contaminación causa cambios graves en la calidad de agua, que tiene un efecto perjudicial en los ecosistemas acuáticos y aguas subterráneas, y puede ser una amenaza a la salud humana. Mayor industrialización y agricultura llevará a mayores instancias de incidentes de contaminación de fuente puntual y no puntual si no se implementan las salvaguardias adecuadas.",Pérdida de hábitat debido a la superfertilización y contaminación con tóxicos,Pérdida de hábitat debido a la opacidad de aguas costeras por sedimentos de escorrentías y tóxicos que llevan a la contaminación.,Acción humana,Corto-mediano plazo ,Local-regional
Mantenimiento de hábitats de criadero,Hábitats,Aumento del nivel del mar,R,"Es probable que los hábitats terrestres sufran pérdidas significativas durante los próximos 100 años con niveles del mar previstos a aumentar entre 1m y 2m. Esto también tendrá impactos significativos en hábitats intermareales que pueden perder hasta 90% de la cobertura de área en orillas costeras pronunciadas. La vegetación terrestre es altamente susceptible a la intrusión de agua salada y será afectada con un alto grado de variabilidad como consecuencia de las distintas topografías costeras, tipos de suelo y sistemas estuarinos.","Afecta la salud de ecosistemas, altera a las corrientes oceánicas y cambia a las comunidades bióticas.","El calentamiento y la acidificación de los océanos crean estrés térmico (por ejemplo, blanqueo de coral), aumento del nivel del mar, y sedimentación. Corrientes oceánicas alteradas provocan cambios en la conectividad y regímenes de temperatura. La acidificación de los océanos lleva a una reducción de los niveles de pH y disminuye las tasas de crecimiento.",Acción humana o variación  natural,Corto-largo plazo,Local-regional-global
Mantenimiento de hábitats de criadero,Agua,Aumento del nivel del mar,A,Los aumentos del nivel del mar causan intrusión del agua de mar (o intrusión de agua salada) ? que es la invasión de agua salina en regiones de agua subterránea fresca en entornos de acuíferos costeros. Estas intrusiones pueden tener un efecto  perjudicial en el aprovisionamiento de agua.,"Afecta la salud de ecosistemas, altera a las corrientes oceánicas y cambia a las comunidades bióticas.","El calentamiento y la acidificación de los océanos crean estrés térmico (por ejemplo, blanqueo de coral), aumento del nivel del mar, y sedimentación. Corrientes oceánicas alteradas provocan cambios en la conectividad y regímenes de temperatura. La acidificación de los océanos lleva a una reducción de los niveles de pH y disminuye las tasas de crecimiento.",Acción humana o variación natural ,Corto-largo plazo,Local-regional-global
Mantenimiento de hábitats de criadero,Hábitats,Tormentas,R,"Las tormentas pueden tener impactos negativos fuertes en determinados tipos de hábitats, tales como los arrecifes coralinos poco profundos. Se espera que la intensidad y la frecuencia de las tormentas aumentarán en los próximos 100 años con tormentas tropicales previstas de aumentar en intensidad entre 2% y 11%. Sin embargo, hay un alto nivel de variabilidad en las respuestas de hábitats a las tormentas.","Afecta la salud de ecosistemas, lleva a corrientes oceánicas alteradas y a cambios de escorrentía.",Los cambios en los patrones de tormenta llevan a la destrucción de estructuras. Los cambios en la precipitación aumentan las escorrentías de agua dulce y contaminantes de origen terrestre.,Acción humana o variación natural ,Corto-largo plazo,Local-regional-global
Mantenimiento de hábitats de criadero,Especies,Tormentas,A,"Las tormentas causan vientos fuertes y mayor precipitación que pueden someter a las especies a cambios de hábitats biogénicos, destrucción de nidos, introducción de especies invasoras e intrusión de agua salada, con impacto negativo en la supervivencia de especies en contextos de eventos localizados. Se pronostica que la frecuencia e intensidad de tormentas continuarán de acuerdo con las tendencias del cambio climático actuales. Las especies que son altamente susceptibles son aquellas que no pueden refugiarse del viento de manera efectiva, son vulnerables a inundaciones, son sujetas al desplazamiento de hábitats (por ejemplo, surcos de dunas de arena), y las especies migratorias.","Afecta la salud de ecosistemas, lleva a corrientes oceánicas alteradas y a cambios de escorrentía.",Los cambios en los patrones de tormenta llevan a la destrucción de estructuras. Los cambios en la precipitación aumentan las escorrentías de agua dulce y contaminantes de origen terrestre.,Acción humana o variación natural ,Corto-largo plazo,Local-regional-global
Mantenimiento de hábitats de criadero ,Agua,Tormentas,R,Los eventos de escorrentías de tormenta afectan la calidad de agua de embalses y aumentan los riesgos al suministro de agua. Se prevé que la frecuencia de eventos de precipitación extrema aumentará en el futuro.,"Afecta la salud de ecosistemas, lleva a corrientes oceánicas alteradas y a cambios de escorrentía.",Los cambios en los patrones de tormenta llevan a la destrucción de estructuras. Los cambios en la precipitación aumentan las escorrentías de agua dulce y contaminantes de origen terrestre.,Acción humana o variación natural ,Corto-largo plazo,Local-regional-global
Estabilización de masa y control de la erosión ,Hábitats,Sequías ,R,"Los hábitats son altamente susceptibles a las sequías, ya que los desbalances hídricos provocan la probabilidad de enfermedades, incendios, erosión eólica, infestación por insectos y pérdidas en la productividad vegetal. Las sequías se han vuelto más intensas y frecuentes en los últimos 50 años y se proyecta que esta tendencia seguirá durante los próximos 100 años, lo que aumentará las presiones negativas sobre los hábitats.",Daño de vegetación protectora. Pérdida de cobertura debido al desprendimiento de árboles inducido por eventos. El escaldado elimina la capa superior del suelo.,Reducción del control de la erosión.,Acción humana o variación natural ,Corto-largo plazo,Global
Estabilización de masa y control de la erosión,Suelos y sedimentos,Sequías ,A,"Las sequías pueden tener un alto impacto en la salud del suelo, al reducir la fertilidad, producir cambios en el balance hídrico, balance nutricional, comunidad biótica, materia orgánica del suelo y demás propiedades biológicas y químicas. También alteran las características físicas del suelo, tales como la compactación, la erosionabilidad y la estabilidad. Estos impactos dependen de las condiciones del suelo y la duración de las sequías; donde ambas son altamente variables.",Dañan la vegetación protectora. Pérdida de cobertura debido al desprendimiento de árboles inducido por eventos. Escaldado elimina la capa superior del suelo.,Reducción del control de la erosión.,Acción humana o variación natural ,Corto-largo plazo,Global
Estabilización de masa y control de la erosión ,Hábitats,Incendio ,R,"En el corto plazo, los incendios reducen rápidamente la disponibilidad de los hábitats ? los parches que quedan con frecuencia están aislados y son poco recomendables. Los incendios más intensos cambian múltiples aspectos de la estructura vegetal y el suelo se verá expuesto, lo que llevará a mayores tasas de erosión. Sin embargo, los incendios son un régimen de gestión ampliamente usado y la restauración de la vegetación posterior al incendio puede muchas veces llevar a incrementos en la disponibilidad y calidad de los hábitats, por ejemplo, mediante la reducción de la hojarasca y vegetación muerta. Los incendios juegan un papel en mantener una diversidad de hábitats que brindan apoyo a las especies.",Daño de vegetación protectora. Pérdida de cobertura debido al desprendimiento de árboles inducido por eventos. El escaldado elimina la capa superior del suelo.,Reducción del control de la erosión.,Acción humana o variación natural ,Corto-largo plazo,Global
Estabilización de masa y control de la erosión,Suelos y sedimentos,Incendio,A,"A pesar de que el fuego ha sido utilizado como herramienta para fertilizar suelos, los incendios también pueden alterar la superficie y vegetación en los suelos, lo que afecta la erosionabilidad y disponibilidad de agua y capacidad de retención. El fuego también cambia las propiedades bioquímicas, físicas o biológicas de los suelos y afecta los ciclos de los nutrientes.",Daño de vegetación protectora. Pérdida de cobertura debido al desprendimiento de árboles inducido por eventos. El escaldado elimina la capa superior del suelo.,Reducción del control de la erosión.,Acción humana o variación natural ,Corto-largo plazo,Global
Estabilización de masa y control de la erosión ,Hábitats,Inundaciones ,R,"Los hábitats de agua dulce son altamente susceptibles a las inundaciones a través del cambio geomorfológico y la introducción de especies invasoras. En consecuencia, se espera que habrá un cambio negativo en el hábitat debido a una mayor frecuencia de inundaciones. Los casos de inundación han incrementado en frecuencia y  duración desde los primeros años de 2000 y se espera que aumentarán en el futuro con una mayor frecuencia impactando directamente en los hábitats.",La acción del oleaje generada por los vientos y tormentas intensas daña a las plantas y causa cambios en la hidrología.,La pérdida o daño de vegetación puede causar una reducción en la capacidad de retención de sedimentos. El desprendimiento de árboles inducido por tormentas expone el suelo y provoca erosión.,Variación natural ,Corto plazo,Local
Estabilización de masa y control de la erosión,Geomorfología del suelo ,Inundaciones,R,"Las inundaciones impactan en la geomorfología del suelo al alterar el flujo natural de las masas de agua, mover grandes volúmenes de suelo y sedimentos, depositar sedimentos y arrastrar fragmentos de roca; también causan cambio indirectamente a través de la erosión, cambios de hábitat y cambios en el suelo.",La acción del oleaje generada por los vientos y tormentas intensas daña a las  plantas y causa cambios en la hidrología.,La pérdida o daño de vegetación puede causar una reducción en la capacidad de retención de sedimentos. El desprendimiento de árboles inducido por tormentas expone el suelo y provoca erosión.,Variación natural,Corto plazo,Local
Estabilización de masa y control de la erosión,Suelos y sedimentos,Inundaciones,A,"Las inundaciones disminuyen la estabilidad de los suelos y causan cambios en la composición. La disponibilidad de oxígeno también es afectada por las inundaciones extensas y produce un cambio en los ciclos de nutrientes, lo que a su vez afecta los procesos del suelo.",La acción del oleaje generada por los vientos y tormentas intensas daña a las plantas y causa cambios en la hidrología.,La pérdida o daño de vegetación puede causar una reducción en la capacidad de retención de sedimentos. El desprendimiento de árboles inducido por tormentas expone el suelo y provoca erosión.,Variación natural,Corto plazo,Local
Estabilización de masa y control de la erosión,Geomorfología del suelo,Modificación del hábitat ,A,"Los cambios de hábitats, tales como la deforestación, pueden alterar indirectamente los accidentes geográficos al exponer el terreno a la erosión y el desprendimiento de tierras, uno de los principales generadores de las  alteraciones de formaciones del terreno.",Aumenta la longitud y/o inclinación de la pendiente. ,"El aumento de la pendiente incrementa la velocidad, potencia y profundidad de la escorrentía que carga más suelo en ella. Influye en la naturaleza del suelo haciéndolo más susceptible a la erosión.",Acción humana,Corto-mediano plazo ,Local
Estabilización de masa y control de la erosión ,Hábitats,Actividades industriales o domésticas ,A,"Al igual que con los impactos de construcción, se anticipa que la cantidad y calidad de hábitats disminuirán en el largo plazo, como resultado de las presiones del desarrollo económico. Los mecanismos mediante los cuales las actividades industriales o domésticas impulsan el cambio en los hábitats son, con frecuencia, complejos y existe cierta incertidumbre. Algunos hábitats son más resilientes a impactos que otros, por lo tanto, hay una variabilidad en las respuestas. ","Acción fuerte del oleaje por las embarcaciones. Pérdida de arena a través de la minería, desarrollo y estructuras costeras. Alteración de la vegetación.","El daño de ecosistemas costeros, tales como bosques de manglar, y la pérdida de dunas y playas naturales resultan en la reducción de la retención de sedimentos y control de la erosión.",,,
,,,,,,,,,
,Acción humana,Corto plazo,Local,,,,,,
Estabilización de masa y control de la erosión,Geomorfología del suelo,Actividades industriales o domésticas,A,"Las actividades intencionales (por ejemplo, minería, construcción, industria, generación de residuos y construcción de carreteras, canales, etc.) y las actividades no intencionales (por ejemplo, erosión relacionada a la modificación de hábitats) generan cambios significativos al subsuelo del terreno. Los impactos humanos en los procesos y estructuras geomorfológicos aumentan en cantidad y fuerza  con el tiempo.","Acción fuerte del oleaje por las embarcaciones. Pérdida de arena a través de la minería, desarrollo y estructuras costeras. Alteración de la vegetación.","El daño de ecosistemas costeros, tales como bosques de manglar, y la pérdida de dunas y playas naturales resultan en la reducción de la retención de sedimentos y control de la erosión.",Acción humana,Corto plazo,Local
Estabilización de masa y control de la erosión,Suelos y sedimentos,Actividades industriales o domésticas,A,"Las actividades industriales y la urbanización son fuentes clave de la contaminación de suelos local. Las actividades intensivas, tales como la disposición inadecuada de residuos, y los accidentes industriales pueden causar la contaminación excesiva de los suelos. La urbanización y la industrialización también aumentan la deposición ácida en los suelos, cambios en los nutrientes del suelo y agua del suelo.","Acción fuerte del oleaje por las embarcaciones. Pérdida de arena a través de la minería, desarrollo y estructuras costeras. Alteración de la vegetación.","El daño de ecosistemas costeros, tales como bosques de manglar, y la pérdida de dunas y playas naturales resultan en la reducción de la retención de sedimentos y control de la erosión.",Acción humana,Corto plazo,Local
Estabilización de masa y control de la erosión,Hábitats,Desprendimiento de tierras  ,R,Los hábitats están sujetos cada vez más a cambios como resultado de los cambios geológicos inducidos por los flujos de masa. Los estudios han demostrado aumentos en la frecuencia y la intensidad de los procesos asociados debido a las actividades humanas. Los hábitats acuáticos de agua dulce y pastizales son altamente susceptibles a la disrupción en los balances nutricionales y la calidad de agua que los flujos de masa producen.,"Movimientos de tierra, alteración de la inclinación de pendientes, la velocidad de la escorrentía aumenta en pendientes pronunciadas, que aumenta el poder del agua para partir y transportar partículas del suelo.",Mayor ruptura del suelo y vulnerabilidad a erosión hídrica.,Variación natural ,Corto plazo,Local
Estabilización de masa y control de la erosión,Geomorfología del suelo ,Inundaciones,A,"La erosión y el desprendimiento de tierras tienen impactos significativos en la morfología de pendientes, canales de río, fondos de valle, y causan cambios en los elementos estructurales, tales como elevación, relieves y pendiente. La susceptibilidad depende enormemente de la longitud y ángulo de la pendiente, suelo y características estructurales y fuerza del impacto, por lo tanto, hay variabilidad en la respuesta del activo a este generador, pero es baja. ","Movimientos de tierra, alteración de la inclinación de pendientes, la velocidad de la escorrentía aumenta en pendientes pronunciadas, que aumenta el poder del agua para partir y transportar partículas de suelo.",Mayor ruptura del suelo y vulnerabilidad a erosión hídrica.,Variación natural ,Corto plazo,Local
