iso_3,agriculture_type,representative_ecoregion_id,representative_ecoregion_eco_risk,representative_ecoregion_category,representative_ecoregion_name,max_ecoregion_id,max_ecoregion_eco_risk,max_ecoregion_category,max_ecoregion_name,min_ecoregion_id,min_ecoregion_eco_risk,min_ecoregion_category,min_ecoregion_name
UKR,Livestock,654,1.476361302,C,Central European mixed forests,658,1.642202752,C,Crimean Submediterranean forest complex,735,1.426179602,E,Pontic steppe
URY,Livestock,574,1.456921939,E,Uruguayan savanna,441,1.626744454,E,Atlantic Coast restingas,575,1.276069193,C,Espinal
USA,Livestock,396,0.973303608,C,Northern Shortgrass prairie,400,1.992666969,C,Southeast US mixed woodlands and savannas,419,0.827280959,A,Ogilvie-MacKenzie alpine tundra
UZB,Livestock,819,1.251099382,E,Central Asian southern desert,813,1.560962137,E,Badghyz and Karabil semi-desert,762,1.084133495,E,Pamir alpine desert and tundra
VEN,Livestock,572,1.194577084,E,Llanos,591,1.760127919,B,Cordillera de Merida páramo,465,0.853901252,D,Guianan lowland moist forests
VGB,Livestock,599,1.763661232,C,Caribbean shrublands,475,1.815520158,B,Leeward Islands moist forests,599,1.763661232,C,Caribbean shrublands
VNM,Livestock,300,1.594081527,E,Southern Vietnam lowland dry forests,266,1.69341745,C,Red River freshwater swamp forests,255,1.367847433,D,Northern Annamites rain forests
VUT,Livestock,159,1.539609676,E,Vanuatu rain forests,159,1.539609676,E,Vanuatu rain forests,159,1.539609676,E,Vanuatu rain forests
YEM,Livestock,837,1.21073928,E,Red Sea-Arabian Desert shrublands,320,1.732287918,B,Indus River Delta-Arabian Sea mangroves,810,0.882989453,E,Arabian sand desert
ZAF,Livestock,101,1.383478263,C,Nama Karoo shrublands,116,1.813974308,C,Southern Africa mangroves,97,1.031695437,C,Kalahari xeric savanna
ZMB,Livestock,39,1.285051342,E,Central Zambezian wet miombo woodlands,87,1.615027039,C,Southern Rift Montane forest-grassland,64,1.070911284,E,Zambezian Baikiaea woodlands
ZWE,Livestock,42,1.27046763,C,Dry miombo woodlands,85,1.709780453,C,Nyanga-Chimanimani Montane forest-grassland,97,1.031695437,C,Kalahari xeric savanna
